CBO,NOC,RFC,LOC,LCOM,WMC,Output
0,0,9,9,100,3,Gmean1
6,0,3,61,0,15,Accuracy
1,0,20,9,0,4,Accuracy
3,0,10,27,0,7,Accuracy
5,0,9,50,16,5,Accuracy
0,0,4,13,50,4,Accuracy
3,0,10,49,0,4,Accuracy
8,0,41,498,81,35,Accuracy
11,0,53,86,0,10,Precision
5,0,19,160,0,32,Accuracy
0,0,13,58,70,14,Balance
14,0,70,498,0,36,Precision
34,0,84,957,92,262,Accuracy
0,0,5,8,0,2,Accuracy
21,0,165,704,94,186,Accuracy
2,0,29,293,0,19,Accuracy
4,0,16,67,16,6,Accuracy
5,0,13,69,0,3,Accuracy
5,0,10,69,68,4,Accuracy
3,0,18,74,33,13,Fmes
6,0,49,273,85,71,Accuracy
18,0,52,185,68,8,Accuracy
0,0,4,18,100,7,Accuracy
8,0,17,272,73,20,Accuracy
44,0,67,697,95,97,Accuracy
4,0,8,56,79,9,Accuracy
11,0,34,411,83,65,Accuracy
4,0,3,35,0,14,Accuracy
7,0,13,176,79,25,Accuracy
7,0,13,277,87,50,Accuracy
4,0,24,15,33,5,Accuracy
3,0,16,100,62,10,Gmean2
6,0,26,36,14,10,Fmes
1,0,19,529,67,36,Accuracy
5,0,9,135,57,23,Fmes
1,0,12,9,0,3,Accuracy
2,3,15,109,78,25,Fmes
0,0,2,27,75,2,Accuracy
3,1,12,331,90,28,Fmes
0,0,6,8,0,6,Accuracy
0,3,2,3,0,2,Accuracy
6,0,8,24,50,2,Accuracy
16,0,11,182,92,38,Accuracy
2,0,2,94,100,3,Accuracy
3,0,8,27,50,10,Accuracy
1,0,20,11,0,3,Accuracy
4,0,10,28,75,4,Gmean1
1,0,27,125,42,12,Balance
3,1,28,59,33,5,Gmean1
15,5,148,239,87,148,Accuracy
1,0,9,41,0,3,Accuracy
0,0,5,4,0,1,Accuracy
0,0,2,10,0,2,Accuracy
6,0,18,108,0,8,Accuracy
3,0,18,20,0,4,Accuracy
5,0,18,46,0,10,Fmes
3,0,5,24,100,4,Gmean1
2,0,20,207,32,17,Accuracy
9,0,10,23,65,10,Accuracy
1,0,5,73,60,12,Fmes
1,0,13,33,28,9,Balance
0,4,10,12,0,10,Fmes
8,0,11,77,76,8,Accuracy
2,0,1,9,100,3,Precision
0,0,1,5,0,1,Accuracy
2,0,12,106,63,11,Accuracy
0,0,4,15,50,4,Accuracy
7,0,20,393,83,34,Accuracy
10,0,21,193,80,15,Accuracy
3,0,5,56,57,5,Precision
10,0,23,543,83,37,Accuracy
1,0,25,22,50,6,Accuracy
1,0,7,80,35,13,Accuracy
6,0,27,55,62,11,Accuracy
8,0,10,44,0,4,Accuracy
6,0,29,164,80,12,Accuracy
0,0,4,13,50,4,Accuracy
2,0,7,15,100,5,Precision
9,0,1,28,0,1,Accuracy
0,0,5,22,0,5,Accuracy
5,0,9,36,26,3,Accuracy
4,1,23,73,89,36,Accuracy
4,0,4,50,58,9,Accuracy
4,0,10,26,0,6,Accuracy
1,0,22,14,0,4,Accuracy
1,0,1,8,0,1,Accuracy
9,0,13,112,88,30,Accuracy
5,0,10,98,12,10,Accuracy
63,1,176,2152,96,349,Accuracy
10,0,10,101,84,15,Gmean1
3,1,13,51,82,17,Accuracy
7,0,62,330,0,123,Precision
9,0,55,133,83,7,Accuracy
21,0,78,737,0,55,Balance
5,0,22,286,32,23,Accuracy
6,0,33,117,71,31,Accuracy
7,0,14,103,62,8,Accuracy
4,0,11,56,0,10,Gmean1
3,0,18,7,0,2,Accuracy
4,0,15,24,30,5,Gmean1
4,0,18,20,0,5,Accuracy
0,0,5,20,74,6,Gmean1
3,0,5,29,100,6,Accuracy
0,0,1,4,0,1,Accuracy
6,0,20,68,92,14,Accuracy
2,0,8,52,62,10,Gmean1
8,0,22,131,82,48,Accuracy
13,0,22,439,45,22,Accuracy
0,0,1,14,0,1,Accuracy
0,0,21,51,77,22,Accuracy
1,0,2,10,0,2,Accuracy
0,1,22,38,72,3,Balance
9,0,18,118,82,5,Accuracy
0,0,6,16,83,6,Accuracy
6,0,8,145,82,21,Fmes
1,0,10,85,30,21,Gmean1
2,0,7,106,35,18,Balance
2,1,7,60,71,7,Accuracy
2,0,2,63,0,11,Accuracy
2,0,3,87,0,14,Accuracy
0,0,3,14,0,3,Accuracy
4,0,11,56,0,6,Accuracy
3,0,10,30,0,6,Accuracy
6,0,27,70,75,16,Accuracy
2,0,21,8,0,5,Accuracy
3,10,26,59,71,17,Accuracy
3,0,10,26,0,6,Accuracy
1,0,9,28,76,9,Accuracy
23,5,114,345,0,114,Gmean1
1,0,10,38,0,8,Accuracy
7,0,63,133,68,15,Accuracy
10,0,51,73,0,5,Balance
4,0,22,69,73,12,Accuracy
7,0,11,147,88,15,Accuracy
4,0,13,44,33,8,Accuracy
16,0,66,1790,94,75,Accuracy
7,0,14,135,0,4,Accuracy
2,0,10,5,0,1,Accuracy
8,0,21,73,0,11,Accuracy
5,0,18,14,0,4,Accuracy
4,0,13,130,16,3,Accuracy
4,0,18,20,0,6,Accuracy
3,0,5,50,100,10,Accuracy
2,0,22,331,0,13,Accuracy
2,0,5,8,100,3,Accuracy
8,0,20,169,39,18,Gmean1
6,0,119,108,79,34,Accuracy
0,0,1,3,0,1,Gmean1
5,0,7,47,51,12,Accuracy
2,0,48,60,60,5,Accuracy
9,0,6,154,80,15,Accuracy
1,0,22,87,66,15,Precision
8,0,11,48,19,5,Accuracy
7,0,25,37,16,8,Gmean1
5,0,28,118,72,27,Accuracy
2,0,50,1175,0,50,Balance
5,0,19,137,74,33,Accuracy
2,1,10,80,75,21,Precision
1,0,37,443,87,113,Accuracy
1,1,7,12,42,8,Accuracy
0,0,9,27,66,11,Precision
3,2,13,110,76,25,Precision
1,0,21,19,0,5,Balance
1,1,29,16,0,7,Accuracy
0,0,21,26,0,7,Accuracy
4,0,21,86,66,16,Accuracy
6,0,3,45,66,4,Accuracy
4,0,22,105,56,34,Accuracy
1,0,10,46,0,8,Accuracy
14,0,13,138,75,8,Accuracy
0,0,2,8,0,2,Accuracy
1,0,6,19,50,6,Precision
8,1,10,73,70,27,Accuracy
1,0,10,21,0,4,Accuracy
11,0,59,241,90,14,Accuracy
0,2,6,7,0,6,Accuracy
1,0,7,16,92,7,Accuracy
0,1,4,6,0,4,Accuracy
9,0,31,35,100,31,Accuracy
3,0,15,163,80,34,Accuracy
0,0,10,44,60,17,Accuracy
15,0,68,774,67,62,Accuracy
4,0,14,120,0,17,Accuracy
3,0,20,291,51,12,Accuracy
3,0,8,24,0,2,Accuracy
3,0,5,30,100,6,Fmes
3,0,5,21,100,4,Gmean1
2,0,17,274,0,8,Accuracy
4,0,16,154,53,11,Accuracy
5,0,7,99,0,1,Gmean1
8,0,15,315,91,30,Accuracy
8,0,9,314,83,25,Accuracy
0,0,3,25,66,6,Balance
7,0,30,50,33,7,Balance
5,0,7,98,55,19,Accuracy
4,0,26,34,28,9,Gmean1
0,0,0,0,0,0,Accuracy
1,0,10,60,0,6,Fmes
1,0,7,25,42,8,Gmean1
1,1,4,9,25,4,Accuracy
2,1,17,96,78,27,Gmean1
1,0,13,84,88,22,Accuracy
4,71,6,36,83,6,Accuracy
0,0,0,1,0,0,Accuracy
1,0,27,75,43,8,Balance
1,0,8,15,0,2,Gmean1
0,0,28,11,0,2,Gmean1
0,0,5,13,0,5,Accuracy
4,1,57,49,0,47,Accuracy
0,0,2,7,0,2,Accuracy
5,0,117,36,33,7,Accuracy
3,0,2,54,14,9,Accuracy
0,1,3,10,33,3,Accuracy
18,0,71,488,0,41,Accuracy
1,0,18,90,84,28,Accuracy
5,0,13,27,0,3,Balance
31,0,4,72,50,5,Balance
5,0,16,75,0,6,Gmean1
4,0,22,44,8,13,Gmean1
3,0,18,23,0,4,Balance
4,0,19,79,0,9,Gmean1
3,0,18,21,0,4,Balance
0,0,17,48,82,17,Gmean1
3,0,14,59,40,6,Gmean1
17,0,29,237,86,57,Accuracy
0,0,21,23,60,5,Accuracy
7,0,8,156,62,29,Precision
5,0,12,58,33,6,Balance
2,0,5,37,80,5,Accuracy
5,0,1,58,0,2,Gmean1
17,0,26,798,88,47,Accuracy
12,0,38,335,91,16,Accuracy
0,0,23,38,0,1,Balance
9,0,10,44,0,4,Accuracy
5,0,25,28,16,7,Accuracy
9,0,38,916,0,32,Accuracy
1,0,37,697,56,56,Accuracy
4,0,8,41,0,2,Accuracy
18,0,65,560,91,156,Accuracy
5,0,12,162,0,15,Accuracy
0,0,11,37,77,14,Gmean1
7,1,34,148,84,47,Accuracy
10,0,19,273,91,16,Gmean1
3,0,10,29,0,7,Accuracy
1,1,20,11,0,3,Accuracy
1,0,25,10,0,3,Accuracy
1,0,27,100,43,10,Balance
1,0,23,102,48,18,Accuracy
8,0,18,179,75,47,Accuracy
4,0,11,23,0,4,Accuracy
4,0,19,87,0,9,Accuracy
4,0,18,25,0,6,Fmes
4,0,17,35,50,7,Gmean1
3,0,48,827,0,41,Accuracy
1,0,11,239,0,1,Gmean1
10,0,106,77,66,18,Accuracy
0,0,7,3,0,1,Accuracy
8,0,92,74,76,28,Accuracy
4,2,2,27,100,6,Gmean1
12,0,17,410,60,18,Accuracy
11,0,31,107,75,7,Accuracy
3,0,21,15,0,3,Accuracy
3,1,11,16,0,4,Accuracy
8,0,6,46,44,16,Accuracy
0,0,14,30,66,3,Gmean2
3,0,14,217,76,22,Accuracy
0,0,2,9,0,2,Accuracy
10,0,15,181,83,34,Gmean1
1,0,2,28,50,2,Gmean1
4,0,28,38,44,10,Accuracy
6,0,31,93,79,17,Accuracy
32,0,31,798,92,41,Accuracy
3,2,38,77,77,19,Accuracy
5,0,26,495,87,117,Accuracy
0,0,10,66,75,18,Accuracy
3,0,10,90,74,19,Fmes
1,0,4,12,75,4,Balance
0,0,6,27,61,7,Fmes
0,1,4,19,0,4,Accuracy
1,0,4,104,91,15,Accuracy
0,2,10,98,57,23,Accuracy
1,0,9,186,85,28,Accuracy
2,0,18,19,25,4,Gmean1
3,1,14,39,0,6,Gmean1
1,0,27,79,75,6,Gmean1
0,0,6,28,55,10,Balance
11,0,24,181,73,62,Accuracy
1,0,7,14,0,3,Accuracy
18,0,63,465,76,36,Accuracy
5,0,5,94,30,23,Precision
10,0,7,137,78,24,Gmean1
0,0,1,4,0,1,Accuracy
7,0,23,71,0,13,Accuracy
4,0,14,28,37,4,Accuracy
4,0,18,10,0,3,Accuracy
2,0,18,15,0,3,Accuracy
3,0,18,28,0,6,Fmes
6,0,68,136,91,47,Accuracy
1,0,13,82,0,20,Fmes
21,1,68,401,91,106,Accuracy
12,0,10,210,67,32,Accuracy
7,0,51,118,75,13,Accuracy
5,2,19,229,83,27,Gmean1
7,0,8,71,67,15,Gmean1
2,0,31,143,82,12,Accuracy
21,0,31,609,84,26,Accuracy
4,0,24,15,33,6,Accuracy
13,0,27,438,86,41,Accuracy
8,0,11,46,19,5,Accuracy
9,0,12,54,16,7,Accuracy
8,0,10,44,0,4,Accuracy
1,0,27,23,62,8,Accuracy
1,0,14,89,0,8,Accuracy
1,0,7,72,54,20,Accuracy
6,0,9,209,80,25,Accuracy
5,0,7,36,0,10,Accuracy
1,0,10,15,0,6,Accuracy
2,0,5,48,60,10,Accuracy
4,0,10,136,37,7,Gmean1
0,0,10,17,0,4,Accuracy
0,0,3,21,33,7,Gmean1
0,0,7,42,62,12,Accuracy
3,0,10,31,0,6,Accuracy
5,1,11,22,54,11,Accuracy
11,0,1,1305,0,8,Accuracy
1,0,24,29,33,7,Balance
0,0,2,19,0,2,Accuracy
0,0,10,60,60,23,Balance
12,0,54,190,0,10,Gmean1
12,0,20,350,74,18,Accuracy
10,1,13,215,70,60,Accuracy
0,0,1,6,100,1,Accuracy
9,0,13,232,83,37,Gmean1
6,0,17,130,0,7,Accuracy
3,0,18,8,0,2,Accuracy
2,0,18,15,0,4,Accuracy
4,0,20,71,0,10,Accuracy
0,0,4,26,85,4,Accuracy
7,0,40,304,72,68,Accuracy
17,0,17,224,76,53,Accuracy
2,0,15,8,0,2,Gmean1
0,0,14,56,80,14,Balance
9,0,56,436,92,130,Accuracy
16,0,28,506,91,18,Accuracy
15,0,57,234,83,27,Accuracy
16,0,37,401,93,27,Accuracy
4,0,5,68,40,10,Gmean1
5,1,12,57,75,7,Accuracy
7,0,26,32,28,9,Balance
2,0,31,19,0,3,Gmean1
5,0,15,171,51,13,Accuracy
6,0,28,760,0,27,Gmean1
0,0,5,18,40,5,Accuracy
0,0,1,5,0,1,Accuracy
7,0,14,329,74,19,Gmean1
2,0,9,21,42,7,Accuracy
0,0,1,2,0,1,Accuracy
1,0,6,31,66,7,Gmean1
0,0,4,23,25,6,Accuracy
2,0,12,42,73,13,Gmean1
0,0,7,10,0,7,Accuracy
5,0,11,63,0,6,Accuracy
13,0,12,181,77,44,Gmean1
3,0,6,408,0,58,Accuracy
4,0,12,64,0,14,Accuracy
0,0,21,5,0,3,Accuracy
2,0,10,17,0,4,Accuracy
0,0,31,8,0,2,Accuracy
2,0,4,11,0,5,Accuracy
38,2,211,321,89,70,Accuracy
1,0,2,9,0,2,Accuracy
12,0,45,309,89,94,Accuracy
9,0,53,100,0,8,Accuracy
16,0,65,334,50,21,Accuracy
1,0,7,11,0,2,Accuracy
1,1,16,62,77,26,Precision
13,0,25,192,81,57,Balance
2,0,5,13,70,5,Accuracy
2,0,11,15,0,2,Accuracy
3,0,11,23,0,4,Accuracy
9,0,11,31,0,2,Accuracy
4,0,13,92,0,4,Accuracy
2,0,18,13,0,2,Accuracy
4,0,13,116,0,3,Accuracy
5,0,14,43,0,4,Accuracy
11,0,35,216,50,56,Precision
1,0,4,41,37,5,Accuracy
13,0,40,268,86,63,Accuracy
25,0,12,377,90,53,Balance
19,0,16,453,86,22,Balance
157,0,276,7011,98,748,Accuracy
5,0,14,417,76,49,Accuracy
8,0,10,44,0,4,Accuracy
9,0,11,58,19,8,Accuracy
7,4,36,546,87,51,Accuracy
3,0,18,290,89,24,Accuracy
2,0,19,136,83,16,Gmean1
2,0,5,14,60,5,Accuracy
2,0,10,164,0,13,Gmean1
4,0,3,95,0,5,Accuracy
0,0,5,26,40,5,Accuracy
2,0,10,152,72,17,Accuracy
