CBO,NOC,RFC,LOC,DIT,LCOM,WMC,ALTER
10,0,19,273,3,91,16,NO
6,0,8,24,3,50,2,YES
0,0,9,9,3,100,3,NO
13,0,12,181,1,77,44,YES
16,0,11,182,1,92,38,YES
4,71,6,36,2,83,6,YES
6,0,3,61,1,0,15,NO
0,0,0,1,1,0,0,NO
4,0,4,50,1,58,9,YES
2,0,2,94,1,100,3,YES
1,0,27,75,3,43,8,NO
1,0,20,9,3,0,4,NO
3,0,10,31,3,0,6,NO
1,0,21,19,3,0,5,YES
3,0,10,30,3,0,6,NO
3,0,6,408,1,0,58,YES
6,0,27,70,3,75,16,YES
5,1,11,22,1,54,11,YES
1,1,29,16,3,0,7,NO
3,0,8,27,1,50,10,YES
11,0,1,1305,1,0,8,NO
2,0,18,19,3,25,4,YES
2,0,21,8,3,0,5,NO
3,10,26,59,2,71,17,YES
0,0,21,26,3,0,7,NO
1,0,8,15,3,0,2,YES
1,0,24,29,3,33,7,YES
3,0,10,29,3,0,7,NO
1,1,20,11,3,0,3,NO
3,0,10,26,3,0,6,NO
1,0,25,10,3,0,3,NO
4,0,21,86,3,66,16,YES
4,0,12,64,3,0,14,YES
1,0,20,11,3,0,3,NO
4,0,10,26,3,0,6,NO
0,0,28,11,3,0,2,NO
1,0,22,14,4,0,4,NO
3,0,10,27,3,0,7,NO
1,0,1,8,1,0,1,NO
6,0,3,45,1,66,4,YES
4,0,10,28,3,75,4,NO
0,0,2,19,2,0,2,YES
9,0,13,112,1,88,30,YES
1,0,27,125,3,42,12,NO
3,1,28,59,3,33,5,NO
3,1,14,39,2,0,6,YES
5,0,9,50,3,16,5,NO
0,0,21,5,3,0,3,NO
2,0,10,17,3,0,4,NO
1,0,27,100,3,43,10,NO
1,0,27,79,3,75,6,NO
0,0,31,8,4,0,2,NO
1,0,23,102,3,48,18,YES
5,0,10,98,3,12,10,YES
63,1,176,2152,1,96,349,YES
2,0,4,11,2,0,5,NO
1,0,9,28,1,76,9,YES
4,0,22,105,2,56,34,YES
0,0,10,60,1,60,23,YES
1,0,10,46,3,0,8,NO
0,0,6,28,1,55,10,NO
11,0,24,181,2,73,62,YES
0,0,5,13,2,0,5,NO
38,2,211,321,2,89,70,YES
10,0,10,101,1,84,15,NO
1,0,2,9,2,0,2,YES
3,1,13,51,1,82,17,YES
14,0,13,138,3,75,8,NO
0,0,4,13,1,50,4,NO
23,5,114,345,1,0,114,YES
4,1,57,49,2,0,47,YES
1,0,10,38,3,0,8,NO
15,5,148,239,1,87,148,YES
1,0,7,14,3,0,3,NO
3,0,10,49,3,0,4,NO
0,0,2,7,2,0,2,NO
0,0,2,8,1,0,2,NO
12,0,45,309,1,89,94,YES
8,0,41,498,3,81,35,YES
1,0,6,19,1,50,6,NO
7,0,62,330,2,0,123,YES
7,0,63,133,5,68,15,NO
9,0,55,133,5,83,7,YES
10,0,51,73,5,0,5,YES
11,0,53,86,6,0,10,YES
9,0,53,100,6,0,8,YES
12,0,54,190,5,0,10,YES
21,0,78,737,5,0,55,YES
18,0,63,465,5,76,36,YES
16,0,65,334,5,50,21,YES
8,1,10,73,1,70,27,YES
8,0,18,179,2,75,47,YES
4,0,22,69,2,73,12,YES
1,0,10,21,3,0,4,NO
11,0,59,241,5,90,14,YES
5,0,117,36,2,33,7,YES
1,0,7,11,3,0,2,NO
7,0,11,147,1,88,15,YES
12,0,20,350,3,74,18,YES
1,1,16,62,1,77,26,YES
10,1,13,215,1,70,60,YES
5,0,22,286,3,32,23,YES
3,0,2,54,1,14,9,NO
13,0,25,192,1,81,57,YES
0,2,6,7,1,0,6,NO
1,0,7,16,1,92,7,YES
5,0,19,160,2,0,32,NO
0,1,4,6,2,0,4,NO
0,1,3,10,1,33,3,NO
0,0,13,58,1,70,14,NO
1,0,9,41,3,0,3,NO
0,0,5,4,3,0,1,NO
9,0,31,35,1,100,31,YES
14,0,70,498,7,0,36,YES
18,0,71,488,7,0,41,YES
3,0,15,163,2,80,34,YES
6,0,33,117,3,71,31,YES
34,0,84,957,1,92,262,YES
0,0,5,8,2,0,2,YES
0,0,10,44,2,60,17,NO
5,0,5,94,1,30,23,YES
4,0,13,44,2,33,8,YES
0,0,1,6,2,100,1,NO
9,0,13,232,2,83,37,NO
10,0,7,137,2,78,24,NO
7,0,14,103,3,62,8,YES
1,0,18,90,2,84,28,YES
21,0,165,704,4,94,186,YES
16,0,66,1790,3,94,75,YES
2,0,5,13,2,70,5,YES
2,0,29,293,4,0,19,NO
15,0,68,774,3,67,62,YES
0,0,2,10,2,0,2,NO
0,0,1,4,2,0,1,NO
4,0,11,23,3,0,4,NO
7,0,14,135,4,0,4,NO
2,0,10,5,3,0,1,NO
5,0,13,27,4,0,3,NO
2,0,11,15,3,0,2,NO
7,0,23,71,4,0,13,NO
8,0,21,73,4,0,11,NO
4,0,11,56,3,0,10,YES
6,0,18,108,4,0,8,NO
3,0,11,23,3,0,4,NO
6,0,17,130,4,0,7,NO
9,0,11,31,4,0,2,NO
31,0,4,72,1,50,5,YES
3,0,18,7,3,0,2,NO
4,0,13,92,4,0,4,NO
3,0,18,8,3,0,2,NO
4,0,14,120,4,0,17,NO
4,0,15,24,4,30,5,NO
5,0,18,14,3,0,4,NO
4,0,14,28,4,37,4,NO
3,0,18,20,3,0,4,NO
5,0,18,46,3,0,10,YES
4,0,13,130,4,16,3,NO
4,0,19,87,4,0,9,NO
2,0,18,15,3,0,4,NO
2,0,18,13,3,0,2,NO
5,0,16,75,4,0,6,NO
4,0,18,10,3,0,3,NO
4,0,18,25,3,0,6,YES
4,0,13,116,4,0,3,NO
4,0,22,44,4,8,13,NO
2,0,18,15,3,0,3,NO
5,0,14,43,4,0,4,NO
3,0,18,28,3,0,6,YES
4,0,20,71,4,0,10,NO
4,0,17,35,4,50,7,NO
4,0,18,20,3,0,5,NO
3,0,18,23,3,0,4,NO
4,0,19,79,4,0,9,NO
4,0,18,20,3,0,6,NO
4,0,16,67,4,16,6,NO
3,0,18,21,3,0,4,NO
5,0,13,69,4,0,3,NO
3,0,20,291,4,51,12,NO
0,0,5,20,1,74,6,NO
5,0,10,69,3,68,4,YES
3,0,18,74,3,33,13,YES
3,0,5,50,2,100,10,NO
3,0,8,24,3,0,2,NO
0,0,4,26,1,85,4,NO
0,0,17,48,1,82,17,NO
3,0,5,24,2,100,4,NO
3,0,5,30,2,100,6,NO
3,0,5,21,2,100,4,NO
3,0,5,29,2,100,6,NO
3,0,14,59,4,40,6,NO
2,0,20,207,3,32,17,YES
7,0,40,304,2,72,68,NO
6,0,49,273,2,85,71,NO
11,0,35,216,1,50,56,NO
2,0,22,331,4,0,13,NO
3,0,48,827,4,0,41,NO
2,0,17,274,4,0,8,NO
2,0,5,8,2,100,3,NO
1,0,11,239,2,0,1,YES
17,0,17,224,1,76,53,YES
0,0,1,4,2,0,1,NO
6,0,20,68,3,92,14,YES
9,0,10,23,1,65,10,YES
17,0,29,237,1,86,57,YES
0,0,21,23,2,60,5,YES
2,0,15,8,2,0,2,YES
18,0,52,185,5,68,8,YES
7,0,8,156,1,62,29,YES
2,0,8,52,2,62,10,NO
1,0,5,73,1,60,12,NO
1,0,13,33,3,28,9,NO
1,0,4,41,1,37,5,NO
10,0,106,77,3,66,18,YES
0,4,10,12,1,0,10,YES
8,0,22,131,1,82,48,YES
8,0,20,169,3,39,18,YES
6,0,119,108,4,79,34,YES
8,0,11,77,3,76,8,YES
6,0,68,136,2,91,47,YES
5,0,12,58,3,33,6,NO
2,0,5,37,2,80,5,NO
1,0,13,82,2,0,20,YES
0,0,1,3,2,0,1,YES
13,0,22,439,3,45,22,YES
5,0,7,47,1,51,12,YES
0,0,1,14,2,0,1,NO
0,0,7,3,3,0,1,YES
8,0,92,74,2,76,28,YES
0,0,14,56,1,80,14,YES
13,0,40,268,2,86,63,YES
21,1,68,401,2,91,106,YES
4,0,16,154,3,53,11,YES
2,0,1,9,1,100,3,NO
0,0,21,51,2,77,22,YES
0,0,1,5,2,0,1,NO
25,0,12,377,2,90,53,YES
4,2,2,27,1,100,6,YES
9,0,56,436,1,92,130,YES
12,0,17,410,3,60,18,YES
12,0,10,210,2,67,32,YES
5,0,7,99,3,0,1,YES
8,0,15,315,2,91,30,YES
2,0,48,60,4,60,5,YES
7,0,51,118,4,75,13,YES
0,0,4,18,2,100,7,NO
8,0,17,272,3,73,20,YES
1,0,2,10,2,0,2,NO
11,0,31,107,4,75,7,YES
3,0,21,15,2,0,3,NO
19,0,16,453,2,86,22,YES
44,0,67,697,3,95,97,YES
16,0,28,506,4,91,18,YES
2,0,12,106,3,63,11,YES
0,0,4,15,2,50,4,NO
4,0,8,56,1,79,9,YES
5,0,1,58,2,0,2,YES
8,0,9,314,2,83,25,YES
3,1,11,16,2,0,4,NO
9,0,6,154,2,80,15,YES
7,0,20,393,3,83,34,YES
8,0,6,46,1,44,16,YES
17,0,26,798,3,88,47,YES
11,0,34,411,4,83,65,YES
15,0,57,234,4,83,27,YES
5,2,19,229,3,83,27,NO
0,1,22,38,4,72,3,NO
0,0,14,30,3,66,3,NO
3,0,14,217,3,76,22,YES
16,0,37,401,2,93,27,YES
0,0,3,25,2,66,6,NO
10,0,21,193,3,80,15,YES
3,0,5,56,1,57,5,NO
0,0,2,9,2,0,2,NO
12,0,38,335,4,91,16,YES
10,0,23,543,3,83,37,YES
4,0,3,35,2,0,14,YES
7,0,8,71,1,67,15,NO
7,0,30,50,4,33,7,YES
1,0,22,87,4,66,15,NO
7,0,13,176,1,79,25,YES
2,0,31,143,4,82,12,NO
4,0,5,68,2,40,10,YES
157,0,276,7011,3,98,748,YES
21,0,31,609,4,84,26,YES
7,0,13,277,2,87,50,YES
4,0,24,15,4,33,5,NO
4,0,24,15,4,33,6,NO
9,0,18,118,4,82,5,YES
13,0,27,438,3,86,41,YES
0,0,23,38,5,0,1,NO
10,0,15,181,2,83,34,NO
5,0,7,98,1,55,19,YES
3,0,16,100,3,62,10,NO
5,0,14,417,2,76,49,NO
5,1,12,57,3,75,7,YES
1,0,2,28,2,50,2,NO
4,0,28,38,2,44,10,YES
8,0,11,48,3,19,5,NO
1,0,25,22,2,50,6,YES
6,0,31,93,2,79,17,YES
8,0,11,46,3,19,5,NO
32,0,31,798,3,92,41,YES
1,0,7,80,2,35,13,YES
7,0,26,32,2,28,9,YES
6,0,26,36,2,14,10,YES
9,0,12,54,3,16,7,NO
6,0,27,55,2,62,11,YES
8,0,10,44,3,0,4,NO
4,0,26,34,2,28,9,YES
8,0,10,44,3,0,4,NO
7,0,25,37,2,16,8,YES
8,0,10,44,3,0,4,NO
6,0,29,164,2,80,12,YES
9,0,10,44,3,0,4,YES
1,0,27,23,2,62,8,YES
5,0,25,28,2,16,7,YES
5,0,28,118,2,72,27,YES
2,0,31,19,3,0,3,YES
3,2,38,77,3,77,19,YES
9,0,11,58,3,19,8,NO
7,4,36,546,3,87,51,YES
1,0,19,529,1,67,36,YES
9,0,38,916,3,0,32,YES
1,0,14,89,3,0,8,NO
5,0,26,495,1,87,117,NO
2,0,50,1175,2,0,50,YES
3,0,18,290,3,89,24,NO
5,0,19,137,2,74,33,YES
1,0,7,72,2,54,20,YES
0,0,10,66,1,75,18,YES
2,0,19,136,4,83,16,YES
0,0,6,16,2,83,6,YES
0,0,0,0,2,0,0,NO
6,0,8,145,2,82,21,NO
2,1,10,80,1,75,21,NO
6,0,9,209,2,80,25,YES
5,0,9,135,1,57,23,NO
5,0,15,171,3,51,13,YES
3,0,10,90,2,74,19,NO
1,0,10,60,3,0,6,YES
6,0,28,760,3,0,27,YES
0,0,5,18,2,40,5,NO
1,0,37,443,1,87,113,YES
1,0,37,697,2,56,56,YES
0,0,4,13,2,50,4,NO
5,0,7,36,1,0,10,NO
1,0,10,15,3,0,6,NO
1,0,12,9,4,0,3,YES
0,0,1,5,2,0,1,NO
4,0,8,41,3,0,2,NO
18,0,65,560,2,91,156,YES
7,0,14,329,3,74,19,NO
2,0,5,14,2,60,5,NO
1,0,10,85,1,30,21,NO
2,0,10,164,3,0,13,YES
2,0,5,48,1,60,10,YES
4,0,10,136,3,37,7,YES
1,0,4,12,1,75,4,NO
2,0,9,21,2,42,7,NO
2,0,7,15,2,100,5,NO
1,0,7,25,1,42,8,YES
0,0,1,2,2,0,1,NO
4,0,3,95,1,0,5,NO
5,0,12,162,3,0,15,YES
1,1,4,9,1,25,4,NO
9,0,1,28,2,0,1,NO
0,0,6,27,1,61,7,NO
0,1,4,19,2,0,4,NO
0,0,5,22,2,0,5,NO
0,0,5,26,1,40,5,YES
1,0,4,104,2,91,15,YES
1,0,6,31,1,66,7,NO
1,1,7,12,1,42,8,NO
0,0,10,17,3,0,4,NO
0,2,10,98,1,57,23,YES
0,0,11,37,2,77,14,NO
2,3,15,109,2,78,25,NO
0,0,4,23,2,25,6,NO
0,0,2,27,2,75,2,YES
0,0,3,21,2,33,7,YES
2,0,12,42,1,73,13,NO
0,0,9,27,2,66,11,NO
3,2,13,110,2,76,25,NO
2,1,17,96,2,78,27,NO
2,0,10,152,2,72,17,YES
2,0,7,106,1,35,18,NO
5,0,9,36,3,26,3,YES
0,0,7,42,1,62,12,YES
2,1,7,60,1,71,7,YES
1,0,9,186,2,85,28,YES
2,0,2,63,2,0,11,NO
3,1,12,331,2,90,28,NO
2,0,3,87,2,0,14,NO
0,0,6,8,2,0,6,NO
0,0,7,10,2,0,7,NO
1,0,13,84,1,88,22,YES
7,1,34,148,1,84,47,YES
5,0,11,63,3,0,6,NO
0,3,2,3,1,0,2,NO
0,0,3,14,2,0,3,NO
4,1,23,73,2,89,36,YES
4,0,11,56,3,0,6,NO
