Name,CBO,NOC,LCOM,DIT,SLOC,RFC,WMC,CHANGE
org.hsqldb.result.ResultLob,14,0,61,1,483,154,36,yes
org.hsqldb.result.ResultMetaData,12,0,83,0,344,41,28,no
org.hsqldb.result.ResultProperties,1,0,85,0,86,28,15,no
org.hsqldb.rights.Grantee,24,1,90,0,716,76,63,yes
org.hsqldb.rights.GranteeManager,33,0,93,0,494,54,41,yes
org.hsqldb.rights.Right,18,0,73,0,700,47,34,yes
org.hsqldb.rights.User,11,0,84,1,109,89,13,no
org.hsqldb.rights.UserManager,25,0,69,0,227,30,17,yes
org.hsqldb.Routine,53,0,94,0,1001,93,80,yes
org.hsqldb.RoutineSchema,16,0,75,0,224,32,19,no
org.hsqldb.Row,8,1,89,0,99,45,32,no
org.hsqldb.RowAction,15,0,92,1,634,49,33,yes
org.hsqldb.RowActionBase,1,1,76,0,36,16,3,no
org.hsqldb.RowAVL,4,2,40,1,68,55,10,no
org.hsqldb.RowAVLDisk,10,2,89,2,142,82,27,yes
org.hsqldb.RowAVLDiskData,6,0,84,2,106,77,22,yes
org.hsqldb.RowAVLDiskLarge,6,0,0,3,27,85,3,no
org.hsqldb.RowDiskDataChange,16,0,80,3,83,91,9,no
org.hsqldb.rowio.RowInputBase,17,3,91,1,171,80,32,yes
org.hsqldb.rowio.RowInputBinary,28,2,94,2,213,116,36,yes
org.hsqldb.rowio.RowInputBinary180,7,0,25,3,35,120,4,no
org.hsqldb.rowio.RowInputBinaryDecode,2,0,0,3,16,118,2,no
org.hsqldb.rowio.RowInputText,26,1,92,2,335,114,34,yes
org.hsqldb.rowio.RowInputTextLog,37,0,80,2,330,115,35,yes
org.hsqldb.rowio.RowInputTextQuoted,5,0,58,3,73,117,3,yes
org.hsqldb.rowio.RowOutputBase,21,3,100,1,157,92,34,yes
org.hsqldb.rowio.RowOutputBinary,21,2,89,2,297,134,42,yes
org.hsqldb.rowio.RowOutputBinary180,7,0,25,3,36,138,4,no
org.hsqldb.rowio.RowOutputBinaryEncode,3,0,0,3,34,138,4,no
org.hsqldb.rowio.RowOutputText,26,1,90,2,219,130,38,yes
org.hsqldb.rowio.RowOutputTextLog,23,0,94,2,175,126,34,no
org.hsqldb.rowio.RowOutputTextQuoted,3,0,0,3,23,133,3,yes
org.hsqldb.sample.ConnectionTypesSample,0,0,0,0,11,109,1,no
org.hsqldb.sample.DatabaseManagerSample,3,0,0,1,8,564,0,no
org.hsqldb.sample.FindFile,13,0,0,0,72,17,4,no
org.hsqldb.sample.SqlFileEmbedder,14,0,25,0,50,17,4,no
org.hsqldb.sample.Testdb,12,0,33,0,73,19,6,no
org.hsqldb.sample.TriggerSample,18,0,92,0,271,29,16,no
org.hsqldb.Scanner,40,0,89,0,1776,72,59,yes
org.hsqldb.Schema,25,0,76,0,326,35,22,yes
org.hsqldb.SchemaManager,60,0,87,0,1938,106,93,yes
org.hsqldb.SchemaObjectSet,24,0,44,0,391,30,17,yes
org.hsqldb.scriptio.ScriptReaderBase,7,1,96,0,60,28,15,yes
org.hsqldb.scriptio.ScriptReaderDecode,22,0,33,2,84,39,3,yes
org.hsqldb.scriptio.ScriptReaderText,33,1,70,1,211,36,8,yes
org.hsqldb.scriptio.ScriptWriterBase,29,1,92,0,236,44,31,yes
org.hsqldb.scriptio.ScriptWriterEncode,15,0,66,2,79,67,6,yes
org.hsqldb.scriptio.ScriptWriterText,20,1,89,1,197,61,17,yes
org.hsqldb.Server,0,0,0,1,3,94,0,no
org.hsqldb.server.HsqlServerFactory,13,0,0,0,29,15,2,no
org.hsqldb.server.HsqlSocketFactory,10,1,90,0,67,24,11,no
org.hsqldb.server.HsqlSocketFactorySecure,20,0,91,1,153,36,12,no
org.hsqldb.server.OdbcPacketInputStream,11,0,95,0,126,62,10,yes
org.hsqldb.server.OdbcPacketOutputStream,5,0,75,0,64,53,10,no
org.hsqldb.server.OdbcPreparedStatement,11,0,54,0,45,17,4,no
org.hsqldb.server.OdbcUtil,17,0,99,0,198,23,10,no
org.hsqldb.server.PgType,11,0,96,0,320,25,12,yes
org.hsqldb.server.RecoverableOdbcFailure,2,0,61,0,31,51,7,no
org.hsqldb.server.Server,53,2,94,0,1079,94,81,no
org.hsqldb.server.Server.ServerThread,3,0,0,0,10,88,2,yes
org.hsqldb.server.ServerAcl,26,0,85,0,306,24,11,no
org.hsqldb.server.ServerAcl.AclEntry,7,0,25,0,64,17,4,no
org.hsqldb.server.ServerAcl.InternalException,0,0,0,0,1,44,0,no
org.hsqldb.server.ServerConfiguration,8,0,0,0,133,21,8,no
org.hsqldb.server.ServerConnection,59,0,78,0,1164,26,13,yes
org.hsqldb.server.ServerConnection.CleanExit,0,0,0,0,1,44,0,no
org.hsqldb.server.ServerConnection.ClientFailure,1,0,0,0,9,46,2,yes
org.hsqldb.server.ServerProperties,16,0,93,1,186,59,7,yes
org.hsqldb.server.Servlet,18,0,50,1,146,17,4,yes
org.hsqldb.server.StatementPortal,11,0,57,0,65,16,3,yes
org.hsqldb.server.WebServer,10,0,100,1,70,101,7,no
org.hsqldb.server.WebServerConnection,41,0,83,0,315,22,9,yes
org.hsqldb.Session,87,0,97,0,1432,133,120,yes
org.hsqldb.Session.TimeoutManager,4,0,11,0,39,16,3,yes
org.hsqldb.SessionContext,32,0,88,0,225,39,26,yes
org.hsqldb.SessionData,43,0,84,0,440,41,28,no
org.hsqldb.SessionManager,15,0,68,0,127,31,18,yes
org.hsqldb.SetFunction,27,0,74,0,451,22,9,yes
org.hsqldb.SortAndSlice,24,0,85,0,342,33,20,yes
org.hsqldb.SqlInvariants,6,0,92,0,86,17,4,yes
org.hsqldb.Statement,11,8,96,0,152,53,40,no
org.hsqldb.StatementCommand,53,0,62,1,1085,61,8,yes
org.hsqldb.StatementCompound,40,0,91,1,591,83,30,no
org.hsqldb.StatementCursor,9,0,100,3,38,93,3,no
org.hsqldb.StatementDML,54,2,91,2,1224,112,28,yes
org.hsqldb.StatementDMQL,36,5,94,1,492,84,31,yes
org.hsqldb.StatementExpression,20,0,60,2,99,94,10,yes
org.hsqldb.StatementHandler,12,0,86,1,130,68,15,no
org.hsqldb.StatementInsert,27,0,66,3,203,117,5,yes
org.hsqldb.StatementManager,17,0,50,0,163,23,10,yes
org.hsqldb.StatementProcedure,28,0,58,2,235,96,12,yes
org.hsqldb.StatementQuery,13,1,100,2,50,90,6,yes
org.hsqldb.StatementResultUpdate,23,0,71,3,137,119,7,yes
org.hsqldb.StatementSchema,56,1,89,1,1194,72,19,yes
org.hsqldb.StatementSchemaDefinition,23,0,60,2,137,77,5,yes
org.hsqldb.StatementSession,36,0,92,1,538,62,9,yes
org.hsqldb.StatementSet,34,0,71,2,262,100,16,yes
org.hsqldb.StatementSignal,12,0,75,1,87,63,10,yes
org.hsqldb.StatementSimple,14,0,55,1,91,62,9,yes
org.hsqldb.Table,68,2,96,1,1954,222,166,yes
org.hsqldb.TableBase,19,1,97,0,340,56,43,no
org.hsqldb.TableDerived,31,1,87,2,281,253,31,yes
org.hsqldb.TableUtil,8,0,0,0,34,16,3,no
org.hsqldb.TableWorks,43,0,33,0,903,44,31,yes
org.hsqldb.test.AllTests,26,0,0,1,38,16,3,yes
org.hsqldb.test.BlaineTrig,3,0,0,0,9,15,2,no
org.hsqldb.test.BlankParsedSection,2,0,0,1,8,25,2,no
org.hsqldb.test.ClearTests,2,0,0,0,15,14,1,no
org.hsqldb.test.CountParsedSection,8,0,50,1,45,27,4,no
org.hsqldb.test.DisplaySection,4,0,0,1,20,25,2,no
org.hsqldb.test.ExceptionParsedSection,6,0,33,1,33,26,3,no
org.hsqldb.test.IgnoreParsedSection,2,0,0,1,8,25,2,no
org.hsqldb.test.JDBCBench,23,0,82,0,796,25,12,no
org.hsqldb.test.JDBCBench.ClientThread,11,0,4,0,168,89,3,no
org.hsqldb.test.JDBCBench.MemoryWatcherThread,3,0,41,0,33,90,4,no
org.hsqldb.test.ParsedSection,7,11,85,0,102,23,10,no
org.hsqldb.test.ProceedSection,8,0,44,1,45,26,3,no
org.hsqldb.test.ResultSetOutputParsedSection,10,0,87,1,44,27,4,no
org.hsqldb.test.ResultSetParsedSection,12,0,72,1,152,29,6,no
org.hsqldb.test.SilentParsedSection,4,0,0,1,14,26,3,no
org.hsqldb.test.TestAcl,13,0,78,1,267,30,17,no
org.hsqldb.test.TestAllTypes,18,0,78,0,293,21,8,no
org.hsqldb.test.TestBase,14,21,76,1,91,20,7,yes
org.hsqldb.test.TestBench,23,0,86,0,750,25,12,no
org.hsqldb.test.TestBench.ClientThread,11,0,25,0,121,90,4,no
org.hsqldb.test.TestBench.ClientThreadProcedure,12,0,25,0,81,90,4,no
org.hsqldb.test.TestBench.MemoryWatcherThread,3,0,41,0,33,90,4,no
org.hsqldb.test.TestCacheSize,22,0,85,0,663,37,24,no
org.hsqldb.test.TestCascade,12,0,57,1,90,20,7,no
org.hsqldb.test.TestCollation,15,0,65,2,132,28,8,no
org.hsqldb.test.TestDatabaseMetaData,16,0,0,2,179,25,5,no
org.hsqldb.test.TestDataStructures,16,0,86,1,326,24,11,no
org.hsqldb.test.TestDateTime,12,0,0,2,166,25,5,no
org.hsqldb.test.TestDatetimeSimple,18,0,66,1,193,19,6,yes
org.hsqldb.test.TestDbBackup,23,0,79,1,442,32,19,no
org.hsqldb.test.TestGroupByHaving,11,0,86,1,175,25,12,no
org.hsqldb.test.TestHarness,21,0,66,0,160,733,9,no
org.hsqldb.test.TestHashStructures,19,0,58,1,389,37,24,no
org.hsqldb.test.TestHTTPKeepAlive,12,0,75,2,96,25,5,no
org.hsqldb.test.TestHTTPKeepAlive.KeepAliveThread,7,0,0,0,22,87,1,no
org.hsqldb.test.TestHTTPKeepAlive.TimeoutThread,3,0,0,0,16,87,1,no
org.hsqldb.test.TestINPredicateParameterizationAndCorrelation,9,0,0,2,109,23,3,no
org.hsqldb.test.TestInstantiation,10,0,0,0,25,15,2,no
org.hsqldb.test.TestJavaFunctions,23,0,0,2,113,30,10,no
org.hsqldb.test.TestJDBCGeneratedColumns,9,0,0,2,152,23,3,no
org.hsqldb.test.TestJDBCSavepoints,14,0,66,1,271,19,6,no
org.hsqldb.test.TestKarl,21,0,94,0,165,19,6,no
org.hsqldb.test.TestLibSpeed,11,0,61,0,159,15,2,no
org.hsqldb.test.TestLikePredicateOptimizations,9,0,0,2,177,23,3,no
org.hsqldb.test.TestLobs,26,0,13,2,653,35,15,no
org.hsqldb.test.TestMerge,12,0,86,2,269,37,17,no
org.hsqldb.test.TestMultiInsert,12,0,61,2,81,26,6,no
org.hsqldb.test.TestNullInUnion,6,0,0,1,38,14,1,no
org.hsqldb.test.TestPreparedStatements,12,0,50,1,144,16,3,yes
org.hsqldb.test.TestPreparedStatements.sqlStmt,1,0,19,0,25,16,3,no
org.hsqldb.test.TestPreparedSubQueries,14,0,60,1,190,18,5,no
org.hsqldb.test.TestPreparedSubQueries.sqlStmt,1,0,0,0,11,14,1,no
org.hsqldb.test.TestQuotes,10,0,66,1,83,16,3,no
org.hsqldb.test.TestSchemaParse,9,0,91,1,768,41,28,no
org.hsqldb.test.TestScript,4,0,66,2,16,23,3,no
org.hsqldb.test.TestScriptRunner,29,0,76,0,260,20,7,no
org.hsqldb.test.TestScriptRunner.ScriptRun,13,0,50,0,51,90,4,no
org.hsqldb.test.TestScripts,13,0,66,1,116,30,3,no
org.hsqldb.test.TestSql,24,0,76,2,636,33,13,no
org.hsqldb.test.TestSqlPersistent,27,0,67,1,351,21,8,no
org.hsqldb.test.TestStoredProcedure,14,0,94,2,355,37,17,no
org.hsqldb.test.TestSubQueriesInPreparedStatements,11,0,0,0,77,15,2,no
org.hsqldb.test.TestSubselect,9,0,79,1,255,34,21,no
org.hsqldb.test.TestTextTable,13,0,66,2,355,35,15,no
org.hsqldb.test.TestTextTable.TextTableDescriptor,11,0,64,0,80,23,10,no
org.hsqldb.test.TestTextTables,7,0,91,2,156,32,12,yes
org.hsqldb.test.TestTriggers,11,0,72,2,105,31,11,no
org.hsqldb.test.TestTypeConversion,11,0,19,2,116,25,5,no
org.hsqldb.test.TestUpdatableResults,9,0,0,2,76,22,2,no
org.hsqldb.test.TestUpdatableResultSets,11,0,33,2,186,26,6,no
org.hsqldb.test.TestUtil,41,1,90,0,227,27,14,no
org.hsqldb.test.TestUtil.TestRuntimeException,1,0,0,0,10,52,3,no
org.hsqldb.test.TestViewAsterisks,13,0,83,2,343,41,21,no
org.hsqldb.test.TriggerClass,5,0,66,0,16,16,3,no
org.hsqldb.test.UpdateParsedSection,7,0,50,1,35,27,4,no
org.hsqldb.test.Waiter,5,0,53,0,53,19,6,no
org.hsqldb.test.WaitSection,12,0,41,1,59,26,3,no
org.hsqldb.TextTable,23,0,72,2,200,239,17,yes
org.hsqldb.Token,13,0,68,0,207,21,8,no
org.hsqldb.Tokens,4,0,99,0,2492,20,7,yes
org.hsqldb.TransactionManager2PL,23,0,0,1,200,61,26,yes
org.hsqldb.TransactionManagerCommon,39,3,90,0,534,35,22,yes
org.hsqldb.TransactionManagerMV2PL,27,0,92,1,351,63,28,yes
org.hsqldb.TransactionManagerMVCC,34,0,94,1,612,68,33,yes
org.hsqldb.TriggerDef,25,1,93,0,414,56,43,no
org.hsqldb.TriggerDef.DefaultTrigger,1,0,0,0,4,14,1,no
org.hsqldb.TriggerDef.TriggerData,2,0,0,0,10,14,1,no
org.hsqldb.TriggerDefSQL,12,0,88,1,56,65,9,no
org.hsqldb.TypeInvariants,9,0,0,0,36,13,0,no
org.hsqldb.types.ArrayType,19,0,72,1,336,145,33,yes
org.hsqldb.types.BinaryData,13,0,89,0,180,45,32,yes
org.hsqldb.types.BinaryType,19,2,94,1,524,146,34,yes
org.hsqldb.types.BitType,21,0,93,2,385,175,29,yes
org.hsqldb.types.BlobDataID,10,0,70,0,154,40,27,no
org.hsqldb.types.BlobInputStream,9,0,64,0,77,31,8,no
org.hsqldb.types.BlobType,20,0,98,2,190,168,22,no
org.hsqldb.types.BooleanType,15,0,95,1,185,133,21,no
org.hsqldb.types.CharacterType,30,1,94,1,786,158,46,yes
org.hsqldb.types.Charset,11,0,96,0,159,27,14,yes
org.hsqldb.types.ClobDataID,9,0,58,0,151,36,23,no
org.hsqldb.types.ClobInputStream,9,0,66,0,88,34,9,yes
org.hsqldb.types.ClobType,18,0,98,2,132,175,17,no
org.hsqldb.types.Collation,23,0,90,0,386,48,35,yes
org.hsqldb.types.DateTimeType,31,0,94,2,1406,181,55,yes
org.hsqldb.types.DTIType,12,2,89,1,330,126,14,yes
org.hsqldb.types.IntervalMonthData,8,0,40,0,52,23,10,yes
org.hsqldb.types.IntervalSecondData,7,0,66,0,103,27,14,no
org.hsqldb.types.IntervalType,25,0,95,2,1223,183,57,yes
org.hsqldb.types.JavaObjectData,7,0,44,0,36,22,9,yes
org.hsqldb.types.NullType,9,0,94,1,55,129,17,no
org.hsqldb.types.NumberType,29,0,97,1,1458,172,60,yes
org.hsqldb.types.OtherType,12,0,95,1,103,133,21,no
org.hsqldb.types.RowType,13,0,69,1,327,140,28,yes
org.hsqldb.types.TimeData,0,0,45,0,50,21,8,no
org.hsqldb.types.TimestampData,0,0,33,0,54,23,10,no
org.hsqldb.types.Type,34,9,98,0,824,112,99,yes
org.hsqldb.types.Types,14,0,93,0,342,20,7,yes
org.hsqldb.types.UserTypeModifier,15,0,77,0,133,32,19,no
org.hsqldb.util.CodeSwitcher,14,0,80,0,287,25,12,no
org.hsqldb.util.CommonSwing,15,0,86,0,97,19,6,no
org.hsqldb.util.ConnectionDialog,26,0,75,0,201,713,8,no
org.hsqldb.util.ConnectionDialogCommon,21,0,66,0,179,19,6,no
org.hsqldb.util.ConnectionDialogSwing,33,0,79,0,228,759,9,no
org.hsqldb.util.ConnectionSetting,1,0,77,0,45,22,9,no
org.hsqldb.util.CSVWriter,8,0,75,0,50,19,6,no
org.hsqldb.util.DataAccessPoint,10,2,84,0,68,32,19,no
org.hsqldb.util.DataAccessPointException,1,0,0,0,8,46,2,no
org.hsqldb.util.DatabaseManager,53,1,91,0,923,564,31,no
org.hsqldb.util.DatabaseManagerCommon,15,0,99,0,238,21,8,no
org.hsqldb.util.DatabaseManagerSwing,107,0,96,0,2041,615,58,no
org.hsqldb.util.DatabaseManagerSwing.DBMPrefs,13,0,29,0,123,16,3,no
org.hsqldb.util.DatabaseManagerSwing.PopupListener,8,0,69,0,127,17,4,no
org.hsqldb.util.DatabaseManagerSwing.StatementExecRunnable,6,0,0,0,20,14,1,no
org.hsqldb.util.FontDialogSwing,19,0,68,0,177,755,5,no
org.hsqldb.util.Grid,13,0,86,0,265,529,23,no
org.hsqldb.util.GridSwing,15,0,66,0,102,44,14,no
org.hsqldb.util.HelperFactory,10,0,0,0,24,15,2,no
org.hsqldb.util.HsqldbTransferHelper,8,0,0,1,47,38,8,no
org.hsqldb.util.InformixTransferHelper,4,0,0,1,32,35,5,no
org.hsqldb.util.JDBCTypes,5,0,66,0,90,17,4,no
org.hsqldb.util.MainInvoker,12,0,55,0,65,16,3,no
org.hsqldb.util.McKoiTransferHelper,8,0,0,1,29,35,5,no
org.hsqldb.util.OracleTransferHelper,12,0,75,1,101,38,8,no
org.hsqldb.util.PostgresTransferHelper,10,0,71,1,90,37,7,no
org.hsqldb.util.preprocessor.AntResolver,2,0,0,0,12,16,3,no
org.hsqldb.util.preprocessor.BasicResolver,4,0,33,0,30,16,3,no
org.hsqldb.util.preprocessor.Defines,7,0,40,0,123,23,10,no
org.hsqldb.util.preprocessor.Document,16,0,25,0,185,29,16,no
org.hsqldb.util.preprocessor.Line,5,0,81,0,97,24,11,no
org.hsqldb.util.preprocessor.LineType,9,0,89,0,62,16,3,no
org.hsqldb.util.preprocessor.Option,0,0,84,0,45,26,13,no
org.hsqldb.util.preprocessor.Parser,7,0,28,0,173,20,7,no
org.hsqldb.util.preprocessor.Preprocessor,21,0,80,0,413,38,25,no
org.hsqldb.util.preprocessor.PreprocessorAntTask,8,0,83,1,82,30,17,no
org.hsqldb.util.preprocessor.PreprocessorException,1,0,0,0,5,45,1,no
org.hsqldb.util.preprocessor.Token,0,0,80,0,61,17,4,no
org.hsqldb.util.preprocessor.Tokenizer,6,0,50,0,156,24,11,no
org.hsqldb.util.SqlServerTransferHelper,7,0,66,1,64,36,6,no
org.hsqldb.util.SQLStatements,1,0,0,0,17,13,0,no
org.hsqldb.util.TableSorter,21,0,90,0,349,57,27,no
org.hsqldb.util.TableSorter.Arrow,4,0,33,0,41,17,4,no
org.hsqldb.util.TableSorter.Directive,0,0,0,0,8,14,1,no
org.hsqldb.util.TableSorter.MouseHandler,7,0,0,0,17,23,1,no
org.hsqldb.util.TableSorter.Row,6,0,0,0,30,15,2,no
org.hsqldb.util.TableSorter.SortableHeaderRenderer,6,0,0,0,20,15,2,no
org.hsqldb.util.TableSorter.TableModelHandler,3,0,0,0,27,14,1,no
org.hsqldb.util.Transfer,44,0,85,0,797,563,30,no
org.hsqldb.util.TransferCommon,15,0,0,0,60,16,3,no
org.hsqldb.util.TransferDb,21,0,57,1,660,50,18,no
org.hsqldb.util.TransferHelper,15,6,81,0,120,30,17,no
org.hsqldb.util.TransferResultSet,6,0,39,0,95,21,8,no
org.hsqldb.util.TransferSQLText,25,0,67,1,624,45,13,no
org.hsqldb.util.TransferSQLText.ColumnDef,1,0,0,0,14,14,1,no
org.hsqldb.util.TransferTable,10,0,54,0,292,20,7,no
org.hsqldb.util.Tree,13,0,84,0,240,523,17,no
org.hsqldb.View,19,0,84,3,155,272,19,yes
org.hsqldb.persist.LockFile.BaseException,3,8,25,0,23,48,4,no
org.hsqldb.RangeVariable.RangeVariableConditions,12,0,64,0,304,24,11,yes
org.hsqldb.RangeVariable.RangeIteratorBase,8,2,86,0,83,30,17,yes
org.hsqldb.RangeVariable.RangeIteratorMain,12,1,79,1,221,41,11,yes
org.hsqldb.RangeVariable.RangeIteratorRight,6,0,60,2,68,46,5,no
org.hsqldb.RangeVariable.RangeIteratorJoined,3,0,64,1,53,37,7,no
org.hsqldb.auth.JaasAuthBean.UPCallbackHandler,7,0,0,0,30,15,2,no
org.hsqldb.cmdline.SqlTool.SqlToolException,1,0,66,0,14,47,3,no
org.hsqldb.ParserDQL.CompileContext,28,0,86,0,271,44,31,no
org.hsqldb.HsqlNameManager.HsqlName,13,0,90,1,151,36,17,yes
org.hsqldb.HsqlNameManager.SimpleName,2,1,33,0,27,19,6,yes
org.hsqldb.HsqlException.HsqlRuntimeMemoryError,0,0,0,0,2,51,1,no
org.hsqldb.index.IndexAVL.IndexRowIterator,6,0,68,0,80,21,8,yes
org.hsqldb.persist.LockFile.LockHeldExternallyException,3,0,25,1,24,52,4,no
org.hsqldb.persist.LockFile.UnexpectedEndOfFileException,3,0,0,1,15,51,3,no
org.hsqldb.persist.LockFile.UnexpectedFileIOException,3,0,0,1,14,51,3,no
org.hsqldb.persist.LockFile.UnexpectedFileNotFoundException,3,0,0,1,15,51,3,no
org.hsqldb.persist.LockFile.WrongLengthException,2,0,0,1,13,51,3,no
org.hsqldb.persist.LockFile.WrongMagicException,3,0,0,1,19,51,3,no
org.hsqldb.lib.FileUtil.FileAccessRes,11,0,0,0,47,20,7,yes
org.hsqldb.lib.FileUtil.FileSync,3,0,0,0,8,15,2,no
org.hsqldb.persist.LockFile.FileCanonicalizationException,3,0,0,1,15,51,3,no
org.hsqldb.persist.LockFile.FileSecurityException,3,0,0,1,14,51,3,no
org.hsqldb.jdbc.JDBCSQLXML.SAX2XMLStreamWriter,11,0,73,0,153,32,19,no
org.hsqldb.lib.ReadWriteLockDummy.LockDummy,3,0,0,0,14,19,6,no
org.hsqldb.types.Type.TypedComparator,3,0,53,0,20,18,5,yes
org.hsqldb.server.ServerAcl.AclFormatException,1,0,0,0,5,45,1,no
