CBO,SLOC,DIT,Output
3,57,0,Accuracy
7,88,1,Balance
2,13,1,Balance
3,56,1,Balance
5,13,0,Balance
6,163,1,Balance
1,8,0,Balance
6,95,0,Balance
7,161,0,Balance
17,41,0,Balance
4,207,0,Gmean2
4,21,0,Gmean2
5,41,0,Balance
2,20,0,Accuracy
9,54,0,Balance
11,35,1,Balance
3,40,0,Balance
25,164,0,Balance
5,38,0,Balance
4,23,0,Balance
2,20,1,Balance
10,195,0,Balance
4,93,0,Gmean2
0,22,1,Balance
14,51,1,Accuracy
10,40,0,Balance
6,26,1,Balance
1,3,0,Balance
1,7,0,Balance
1,27,0,Balance
0,22,1,Balance
4,78,0,Gmean2
2,32,0,Accuracy
5,47,1,Balance
3,25,0,Balance
2,14,0,Accuracy
11,146,0,Balance
0,22,1,Balance
3,83,0,Balance
5,73,0,Balance
10,96,0,Balance
1,25,0,Balance
5,83,0,Balance
12,38,1,Balance
6,104,1,Accuracy
2,24,0,Accuracy
3,16,3,Balance
9,28,3,Balance
8,31,3,Balance
20,260,1,Balance
5,175,0,Balance
11,180,0,Balance
6,43,0,Balance
15,459,0,Balance
4,138,2,Balance
2,13,1,Balance
24,277,1,Balance
5,31,0,Balance
8,48,1,Balance
1,8,2,Balance
1,8,0,Balance
3,35,2,Accuracy
9,57,1,Accuracy
9,130,0,Balance
1,8,2,Balance
7,43,0,Balance
12,114,0,Balance
12,53,0,Balance
8,20,1,Balance
10,56,0,Balance
7,20,1,Accuracy
1,27,0,Balance
19,89,1,Accuracy
3,196,0,Balance
6,87,1,Accuracy
8,179,0,Balance
2,16,1,Balance
20,73,0,Precision
14,86,0,Balance
2,18,0,Accuracy
3,32,1,Balance
15,86,0,Balance
0,7,0,Balance
2,16,1,Balance
7,54,1,Balance
6,160,0,Accuracy
8,44,0,Accuracy
3,72,0,Balance
12,270,0,Gmean2
2,29,1,Balance
1,13,0,Balance
55,451,0,Balance
2,39,1,Balance
15,130,0,Balance
5,140,0,Balance
13,430,0,Balance
2,39,0,Balance
80,1119,0,Balance
12,109,0,Balance
1,8,1,Balance
5,19,1,Balance
1,8,0,Balance
9,29,0,Accuracy
14,46,1,Balance
5,35,0,Balance
7,23,0,Balance
9,22,1,Balance
6,15,1,Balance
7,25,0,Balance
4,37,0,Balance
5,62,0,Balance
9,29,1,Balance
3,28,0,Balance
14,289,0,Balance
0,22,1,Balance
0,22,1,Balance
11,384,1,Accuracy
28,350,2,Accuracy
0,22,1,Balance
6,67,2,Balance
9,70,0,Accuracy
1,7,2,Balance
4,40,0,Balance
4,27,0,Balance
9,98,0,Accuracy
8,72,2,Balance
0,22,1,Balance
11,42,1,Accuracy
4,174,0,Balance
0,22,1,Balance
0,22,1,Balance
0,22,1,Balance
1,22,0,Balance
2,12,1,Balance
13,336,1,Accuracy
8,33,1,Balance
9,148,0,Balance
3,24,0,Balance
3,18,0,Balance
2,15,0,Balance
14,164,2,Balance
16,186,0,Balance
1,45,0,Balance
3,60,1,Balance
57,539,0,Balance
13,235,0,Balance
3,15,3,Balance
12,322,2,Accuracy
3,28,1,Balance
15,35,1,Balance
7,23,0,Balance
4,16,0,Balance
6,54,0,Balance
2,16,0,Balance
6,54,0,Balance
5,17,0,Balance
7,43,0,Accuracy
10,59,1,Balance
1,20,0,Balance
6,37,0,Balance
12,80,1,Balance
5,75,0,Balance
5,8,0,Balance
11,114,0,Balance
16,86,0,Balance
4,57,0,Balance
3,17,0,Balance
2,40,0,Balance
4,71,0,Accuracy
2,16,1,Balance
20,444,0,Balance
1,17,0,Balance
4,14,1,Balance
2,13,0,Balance
2,15,2,Balance
7,39,0,Balance
5,61,1,Balance
2,26,0,Balance
4,27,0,Accuracy
1,12,0,Balance
5,39,0,Accuracy
6,35,0,Gmean2
27,265,0,Balance
9,48,0,Balance
2,16,0,Balance
2,14,1,Balance
5,25,1,Balance
1,17,0,Balance
25,286,0,Balance
14,129,0,Balance
8,66,1,Accuracy
15,375,0,Balance
9,22,1,Balance
9,73,0,Precision
46,398,0,Balance
1,14,0,Balance
1,8,0,Balance
49,132,0,Accuracy
7,24,1,Balance
10,95,0,Precision
5,56,0,Gmean1
8,38,0,Balance
0,22,1,Balance
6,108,2,Accuracy
0,22,1,Balance
8,69,0,Gmean2
0,22,1,Balance
20,807,0,Balance
1,8,2,Balance
2,12,0,Balance
7,91,0,Gmean2
1,10,0,Balance
7,43,1,Accuracy
12,250,0,Balance
4,22,1,Balance
5,35,2,Balance
6,15,0,Gmean2
2,14,0,Balance
3,46,0,Balance
4,21,2,Balance
3,118,0,Balance
29,1442,1,Accuracy
9,84,0,Balance
18,153,0,Balance
10,64,0,Balance
5,31,0,Accuracy
8,85,0,Balance
5,70,0,Gmean1
14,127,1,Accuracy
1,16,0,Balance
10,144,2,Balance
0,4,1,Balance
1,8,0,Balance
6,34,0,Balance
37,558,0,Balance
1,13,0,Balance
9,92,0,Precision
4,26,1,Balance
4,13,0,Balance
1,8,0,Balance
7,23,0,Gmean2
3,17,1,Balance
2,16,1,Balance
11,40,1,Accuracy
4,121,0,Balance
7,34,0,Gmean2
2,16,1,Balance
4,18,0,Accuracy
4,19,0,Accuracy
5,21,0,Accuracy
3,7,0,Gmean2
1,44,0,Balance
8,62,0,Precision
7,73,1,Balance
4,73,1,Accuracy
20,178,2,Accuracy
5,103,0,Balance
9,47,0,Balance
7,55,0,Balance
3,24,1,Balance
12,332,0,Precision
3,15,2,Balance
8,26,0,Precision
3,7,0,Gmean2
4,44,0,Balance
8,48,1,Balance
0,4,1,Balance
5,125,0,Balance
8,16,1,Balance
1,55,0,Balance
6,22,1,Balance
10,73,0,Balance
4,44,0,Balance
6,20,0,Precision
9,28,0,Balance
19,81,0,Balance
21,76,0,Balance
5,57,0,Precision
3,38,0,Gmean2
14,88,0,Balance
7,36,0,Precision
4,10,0,Gmean2
6,35,1,Balance
3,7,0,Gmean2
17,115,2,Balance
8,25,1,Balance
3,7,0,Gmean2
2,12,1,Balance
0,22,1,Balance
19,172,0,Balance
15,69,0,Balance
5,22,1,Balance
1,7,0,Balance
5,29,0,Balance
2,142,0,Accuracy
3,32,0,Gmean2
5,71,0,Balance
9,133,0,Balance
10,78,1,Balance
3,16,0,Balance
1,18,1,Balance
6,47,0,Precision
2,39,0,Accuracy
9,72,0,Precision
2,22,1,Balance
1,90,0,Balance
4,19,2,Balance
3,54,1,Balance
4,59,1,Balance
7,73,2,Balance
8,65,1,Balance
6,83,0,Balance
7,25,0,Balance
3,27,1,Balance
3,118,0,Gmean2
10,238,1,Accuracy
1,6,1,Balance
12,127,1,Accuracy
25,308,0,Balance
4,57,2,Balance
4,56,2,Accuracy
4,72,1,Accuracy
25,747,1,Balance
10,51,2,Balance
10,80,1,Balance
5,149,0,Balance
4,39,0,Balance
1,78,0,Balance
10,108,0,Balance
6,42,0,Balance
1,13,0,Balance
3,7,0,Gmean2
4,18,0,Gmean2
22,237,1,Balance
5,23,2,Balance
6,70,0,Balance
28,436,1,Balance
4,20,2,Balance
0,11,0,Balance
2,13,0,Balance
4,46,1,Balance
2,71,0,Balance
5,49,0,Balance
3,45,0,Balance
4,42,0,Balance
10,67,1,Balance
6,95,0,Balance
8,39,0,Gmean2
47,333,0,Balance
3,113,1,Balance
25,211,0,Balance
1,8,1,Balance
32,78,0,Gmean1
9,69,0,Balance
27,120,0,Balance
11,58,0,Gmean2
16,43,2,Balance
2,17,0,Balance
14,42,1,Accuracy
3,19,0,Balance
2,29,1,Balance
15,132,0,Gmean1
5,32,1,Balance
5,46,0,Balance
0,22,1,Balance
6,29,0,Accuracy
0,22,1,Balance
2,9,0,Balance
5,46,2,Balance
0,22,1,Balance
0,22,1,Balance
4,35,0,Balance
10,38,0,Balance
3,26,0,Balance
10,206,0,Balance
4,36,0,Balance
4,32,0,Balance
78,664,0,Gmean1
2,63,0,Balance
5,38,0,Balance
1,8,1,Balance
5,107,1,Balance
0,15,0,Balance
2,63,0,Balance
6,61,0,Balance
34,213,0,Balance
57,666,0,Balance
4,35,0,Balance
3,60,1,Balance
4,41,3,Balance
4,17,3,Balance
3,19,2,Balance
12,92,2,Balance
2,40,0,Balance
5,57,0,Balance
6,211,0,Accuracy
2,30,2,Balance
11,207,0,Balance
1,15,0,Balance
12,33,1,Accuracy
3,85,1,Balance
3,35,2,Balance
1,13,1,Balance
2,30,0,Balance
11,159,1,Balance
7,94,0,Balance
28,182,0,Gmean1
9,64,0,Balance
1,29,0,Balance
3,7,0,Balance
2,16,1,Balance
4,21,0,Balance
4,34,0,Balance
13,62,0,Gmean1
3,18,0,Balance
0,12,0,Balance
21,219,1,Accuracy
14,144,0,Balance
6,107,0,Accuracy
8,29,0,Balance
3,30,0,Balance
1,9,1,Balance
11,195,0,Balance
13,208,0,Balance
11,66,2,Balance
2,34,0,Balance
5,53,1,Balance
7,33,0,Balance
7,56,0,Balance
9,50,0,Balance
3,38,0,Balance
1,16,1,Balance
6,67,0,Accuracy
1,9,0,Balance
3,7,0,Balance
2,22,0,Balance
7,82,1,Balance
4,37,0,Balance
32,112,0,Precision
4,9,0,Balance
16,148,0,Balance
7,20,0,Accuracy
3,23,0,Balance
5,28,0,Balance
69,966,0,Precision
1,8,1,Balance
0,22,1,Balance
0,22,1,Balance
0,22,1,Balance
0,22,1,Balance
14,89,0,Balance
0,22,1,Balance
0,22,1,Balance
10,432,1,Balance
4,48,0,Balance
11,139,0,Gmean2
1,11,2,Balance
38,163,0,Balance
1,39,0,Balance
9,145,0,Balance
5,128,0,Accuracy
1,20,0,Balance
6,109,1,Balance
2,5,0,Balance
1,31,0,Balance
9,42,0,Balance
11,250,0,Balance
2,38,0,Balance
31,1350,0,Balance
0,10,0,Balance
3,44,0,Balance
1,12,1,Balance
6,121,0,Accuracy
2,71,0,Balance
3,10,1,Balance
43,656,0,Balance
9,88,0,Gmean2
3,35,2,Balance
15,105,2,Accuracy
1,8,2,Balance
2,7,1,Balance
5,222,0,Accuracy
9,52,0,Balance
14,369,0,Balance
5,119,0,Accuracy
1,19,0,Balance
6,87,0,Accuracy
6,56,0,Balance
1,13,0,Balance
5,26,1,Balance
9,30,0,Gmean2
9,67,0,Balance
3,8,0,Balance
16,125,0,Precision
2,28,0,Balance
10,38,0,Gmean2
1,4,0,Balance
3,18,0,Balance
3,7,0,Balance
1,8,0,Balance
16,67,1,Balance
13,107,1,Balance
2,12,2,Balance
3,24,1,Balance
10,290,0,Balance
14,175,0,Balance
1,27,0,Balance
1,13,0,Balance
0,5,1,Balance
13,172,0,Balance
7,14,1,Balance
21,261,1,Accuracy
2,13,0,Balance
2,84,0,Balance
2,16,1,Balance
17,181,0,Balance
4,43,0,Accuracy
1,5,0,Balance
6,27,1,Balance
10,45,0,Balance
7,42,0,Precision
2,23,0,Balance
4,32,0,Balance
33,391,2,Balance
17,110,0,Balance
1,8,0,Balance
3,23,0,Accuracy
0,22,1,Balance
0,22,1,Balance
5,86,0,Gmean2
0,22,1,Balance
0,22,1,Balance
5,19,1,Balance
8,42,0,Precision
12,346,0,Balance
11,47,1,Balance
10,79,0,Balance
0,22,1,Balance
0,22,1,Balance
7,151,2,Accuracy
0,22,1,Balance
36,139,0,Balance
5,15,0,Gmean2
1,22,1,Balance
5,54,1,Balance
2,31,0,Balance
0,9,0,Balance
1,13,0,Balance
27,113,1,Balance
18,94,1,Accuracy
5,61,0,Gmean2
30,170,0,Balance
8,55,0,Balance
4,37,0,Balance
5,107,0,Balance
8,29,3,Balance
8,29,3,Balance
5,46,3,Balance
1,33,0,Balance
1,12,1,Balance
1,12,0,Balance
1,40,0,Balance
9,89,1,Accuracy
6,81,2,Accuracy
28,610,0,Balance
8,70,1,Accuracy
5,17,0,Gmean2
20,114,0,Balance
14,74,1,Balance
8,36,2,Balance
2,30,1,Balance
19,115,1,Balance
10,84,0,Balance
1,43,0,Balance
29,219,0,Balance
2,13,1,Balance
5,176,1,Balance
8,100,0,Balance
2,44,1,Balance
3,7,0,Accuracy
3,18,0,Accuracy
4,18,0,Accuracy
2,15,0,Balance
20,87,1,Accuracy
10,28,0,Precision
8,61,0,Balance
13,110,1,Balance
3,34,0,Accuracy
6,56,2,Balance
1,19,1,Balance
4,76,0,Gmean1
6,164,1,Balance
1,12,0,Balance
3,9,0,Balance
14,76,0,Balance
4,26,1,Balance
7,29,1,Balance
9,81,2,Accuracy
1,3,0,Balance
5,14,1,Balance
17,987,0,Balance
7,118,1,Balance
1,6,0,Balance
6,58,0,Fmes
16,102,0,Balance
38,272,0,Gmean2
8,15,1,Balance
10,21,0,Balance
2,69,0,Balance
24,140,0,Balance
12,52,2,Balance
5,22,1,Accuracy
6,31,2,Balance
0,22,1,Balance
0,22,1,Balance
10,52,1,Balance
1,7,0,Balance
2,24,0,Balance
9,67,0,Balance
9,587,1,Balance
4,153,0,Balance
5,120,2,Balance
0,22,1,Balance
0,14,0,Balance
11,102,0,Precision
7,51,0,Balance
16,334,0,Balance
5,83,0,Gmean2
19,278,0,Balance
12,139,0,Balance
10,115,1,Balance
9,51,0,Balance
7,50,0,Balance
10,86,0,Precision
9,55,0,Balance
11,55,1,Balance
6,64,0,Balance
10,65,3,Accuracy
8,27,3,Balance
9,29,3,Balance
4,16,3,Balance
8,121,2,Balance
7,15,1,Balance
15,141,0,Balance
1,12,0,Balance
6,12,1,Balance
6,44,1,Balance
14,136,0,Balance
4,19,0,Accuracy
4,30,0,Balance
1,9,0,Balance
3,35,2,Balance
1,8,2,Balance
3,40,0,Accuracy
2,25,0,Balance
7,124,0,Precision
13,208,0,Balance
1,5,0,Balance
4,21,0,Accuracy
9,63,0,Balance
1,27,0,Balance
2,18,2,Balance
1,11,0,Balance
4,67,0,Balance
3,18,0,Accuracy
4,18,1,Balance
11,158,1,Balance
10,69,0,Balance
9,111,0,Balance
4,33,1,Balance
2,12,1,Balance
6,44,0,Balance
8,47,0,Balance
3,24,1,Balance
9,619,1,Gmean1
4,82,0,Gmean2
6,13,0,Gmean2
6,33,0,Balance
6,28,1,Balance
1,8,2,Balance
3,28,0,Accuracy
22,112,0,Balance
2,125,1,Balance
4,34,0,Gmean2
9,59,0,Balance
4,15,2,Balance
35,346,0,Balance
12,69,0,Balance
29,94,1,Accuracy
6,16,0,Gmean2
2,13,0,Balance
26,76,0,Precision
27,142,0,Balance
5,36,0,Gmean2
2,16,1,Balance
8,116,0,Balance
8,92,0,Balance
6,41,0,Gmean2
18,307,1,Accuracy
6,36,0,Balance
4,12,1,Balance
4,57,0,Gmean2
7,55,0,Balance
0,22,1,Balance
0,22,1,Balance
4,103,0,Gmean2
1,41,0,Balance
2,11,2,Balance
5,136,0,Gmean2
22,287,1,Accuracy
1,8,1,Balance
12,136,1,Balance
27,279,2,Accuracy
7,56,1,Balance
1,112,0,Balance
0,4,1,Balance
1,31,0,Balance
6,17,0,Balance
13,95,0,Balance
7,42,0,Balance
15,514,0,Balance
4,25,1,Balance
20,274,0,Balance
8,229,0,Balance
4,22,1,Balance
4,54,0,Balance
1,6,1,Balance
7,101,2,Accuracy
5,37,0,Balance
1,15,1,Balance
11,92,3,Gmean2
3,58,0,Accuracy
5,73,0,Gmean2
4,42,0,Gmean2
3,23,0,Accuracy
2,74,0,Balance
4,28,0,Gmean2
12,157,0,Balance
8,65,0,Precision
4,38,0,Gmean2
5,48,1,Accuracy
7,103,0,Balance
2,13,1,Balance
4,52,0,Balance
4,38,0,Gmean2
4,21,0,Gmean2
1,4,0,Balance
3,18,0,Accuracy
9,36,1,Accuracy
6,27,2,Balance
1,62,0,Balance
1,83,0,Accuracy
1,17,0,Balance
1,63,0,Balance
12,58,0,Accuracy
1,13,0,Balance
9,262,0,Gmean2
5,32,1,Accuracy
3,16,1,Balance
4,52,1,Balance
3,13,1,Balance
3,48,0,Balance
7,70,0,Balance
9,168,0,Gmean2
32,571,0,Balance
15,133,0,Balance
22,176,0,Gmean2
2,26,1,Balance
8,52,1,Balance
1,12,0,Balance
14,88,1,Accuracy
10,15,2,Balance
13,130,0,Gmean2
6,27,0,Accuracy
11,71,0,Accuracy
20,168,0,Balance
5,96,1,Balance
4,36,0,Accuracy
4,242,0,Gmean2
9,38,0,Accuracy
25,229,0,Balance
26,85,0,Gmean2
10,49,0,Accuracy
13,30,1,Balance
11,59,0,Accuracy
4,69,0,Balance
1,14,0,Balance
2,8,0,Balance
10,156,0,Balance
8,2552,0,Balance
11,109,0,Gmean2
13,154,0,Balance
5,106,2,Balance
1,19,0,Balance
0,22,1,Balance
14,136,0,Gmean2
8,80,0,Accuracy
6,50,0,Accuracy
2,38,1,Balance
3,9,0,Precision
1,29,0,Balance
3,68,1,Balance
27,116,1,Balance
16,262,0,Balance
11,79,0,Accuracy
1,42,0,Balance
18,130,2,Accuracy
3,25,0,Balance
2,18,3,Balance
4,26,0,Balance
10,390,1,Balance
14,46,2,Balance
5,15,0,Balance
2,18,1,Balance
15,50,2,Balance
1,11,0,Balance
2,40,0,Balance
2,19,0,Balance
10,56,0,Balance
26,319,1,Accuracy
3,32,0,Balance
10,44,0,Accuracy
1,20,0,Balance
5,37,2,Balance
23,254,0,Balance
6,102,0,Gmean2
3,7,0,Balance
16,82,0,Balance
3,7,0,Balance
3,18,0,Balance
3,18,0,Balance
