CBO,NOC,RFC,SLOC ,LCOM,Output
9,0,31,79,79,Gmean1
1,5,56,33,0,Accuracy
3,0,15,12,0,Accuracy
2,0,17,14,25,Accuracy
2,0,18,6,0,Accuracy
2,0,20,17,0,Accuracy
15,0,49,230,86,Gmes
3,0,27,32,0,Accuracy
8,0,711,113,66,Gmean1
13,0,711,73,75,Accuracy
2,0,60,7,0,Accuracy
2,0,60,7,0,Accuracy
11,0,31,54,19,Accuracy
3,0,19,20,0,Accuracy
19,0,59,158,69,Accuracy
6,0,16,27,0,Accuracy
17,0,36,110,79,Accuracy
5,0,20,34,58,Accuracy
5,0,18,41,60,Gmean1
6,0,18,39,50,Accuracy
9,0,15,28,0,Accuracy
4,0,15,47,0,Accuracy
10,0,18,70,50,Accuracy
17,0,19,83,66,Balance
6,0,17,22,0,Accuracy
32,0,51,208,80,Accuracy
29,0,22,129,77,Gmean1
19,0,23,111,76,Accuracy
24,0,28,154,72,Accuracy
24,0,28,143,88,Gmes
15,0,20,105,80,Accuracy
20,0,91,129,0,Accuracy
7,0,88,26,0,Accuracy
46,1,41,633,92,Balance
18,0,95,104,50,Accuracy
49,0,31,589,75,Accuracy
16,0,95,72,40,Accuracy
14,1,22,162,88,Accuracy
19,2,51,254,97,Accuracy
12,0,15,86,0,Accuracy
7,0,15,15,0,Accuracy
16,0,20,108,42,Gmean1
8,0,20,88,0,Accuracy
14,0,23,244,40,Accuracy
11,0,22,172,58,Gmean1
15,0,17,121,43,Gmes
17,0,16,125,16,Accuracy
15,0,15,32,0,Accuracy
13,0,48,50,33,Accuracy
5,0,20,10,0,Accuracy
3,1,14,7,0,Accuracy
6,0,16,21,100,Accuracy
9,0,54,139,14,Accuracy
14,0,90,50,0,Accuracy
29,0,56,274,86,Gmes
6,0,20,13,0,Accuracy
2,0,14,5,0,Accuracy
15,0,80,67,0,Accuracy
13,0,21,73,67,Accuracy
19,0,58,186,0,Accuracy
1,0,50,8,0,Accuracy
1,0,51,11,0,Accuracy
7,0,25,190,91,Gmean1
15,0,41,188,64,Accuracy
9,0,15,61,0,Accuracy
3,0,14,17,0,Accuracy
31,0,35,1018,93,Accuracy
1,0,49,5,100,Gmean1
2,0,14,8,0,Accuracy
9,1,28,53,33,Accuracy
26,0,27,280,81,Precision
24,0,25,269,78,Gmes
23,0,21,157,70,Gmes
10,0,14,27,0,Accuracy
2,0,60,7,0,Accuracy
2,0,60,7,0,Accuracy
13,0,16,33,0,Accuracy
10,0,22,90,88,Gmes
6,0,30,47,28,Accuracy
5,0,24,24,19,Accuracy
8,0,20,39,58,Accuracy
7,0,16,20,0,Accuracy
15,0,23,123,76,Gmes
18,0,47,313,81,Accuracy
4,0,15,15,0,Accuracy
25,0,17,216,58,Accuracy
29,3,33,560,79,Accuracy
22,2,33,104,50,Balance
13,0,95,61,35,Accuracy
1,0,13,7,0,Accuracy
1,0,13,4,0,Accuracy
9,0,92,64,33,Accuracy
13,0,91,61,50,Accuracy
6,0,34,7,0,Accuracy
4,0,16,19,0,Accuracy
12,0,17,80,33,Accuracy
15,0,18,98,60,Accuracy
11,0,15,61,0,Accuracy
34,0,50,200,86,Accuracy
12,0,91,59,53,Accuracy
19,0,16,60,33,Accuracy
6,0,30,50,54,Accuracy
15,0,52,119,60,Gmean1
14,0,51,165,50,Accuracy
10,0,15,34,0,Accuracy
4,0,20,13,0,Accuracy
18,0,19,60,60,Accuracy
14,0,88,43,75,Accuracy
26,0,28,204,79,Precision
2,0,14,7,0,Accuracy
10,0,20,123,33,Accuracy
16,0,16,39,50,Balance
6,0,21,19,0,Accuracy
14,0,49,56,87,Gmes
28,0,26,292,69,Accuracy
10,0,15,26,50,Balance
17,0,57,364,54,Gmes
8,0,16,35,33,Accuracy
5,3,17,26,50,Accuracy
17,0,16,47,66,Accuracy
14,0,16,51,66,Accuracy
12,0,17,55,50,Accuracy
12,1,17,64,64,Accuracy
0,0,15,15,0,Accuracy
21,0,22,141,70,Gmes
14,0,14,60,0,Accuracy
6,0,16,33,0,Accuracy
6,5,15,45,0,Accuracy
4,0,16,25,0,Accuracy
1,0,772,7,0,Accuracy
18,0,27,272,85,Accuracy
13,0,16,32,0,Accuracy
3,0,18,15,0,Accuracy
26,0,34,204,64,Accuracy
14,0,85,215,39,Accuracy
5,0,18,25,80,Gmean1
0,0,13,3,0,Accuracy
7,0,16,62,100,Gmean1
2,0,19,64,75,Gmean1
2,0,15,18,0,Accuracy
9,0,23,70,100,Accuracy
1,0,14,4,0,Accuracy
18,0,14,58,0,Accuracy
2,0,18,14,60,Accuracy
11,0,96,117,45,Gmean1
7,0,16,181,33,Accuracy
3,0,14,31,100,Accuracy
25,0,98,110,92,Accuracy
33,1,32,511,85,Accuracy
12,0,92,56,26,Accuracy
4,0,17,43,25,Accuracy
7,0,17,41,37,Accuracy
2,1,15,9,50,Accuracy
4,0,34,12,33,Accuracy
27,3,33,119,93,Accuracy
5,0,15,24,9,Gmean1
8,4,37,90,66,Accuracy
6,0,92,12,0,Accuracy
7,0,41,54,77,Gmean1
1,0,14,3,0,Accuracy
8,0,89,29,0,Accuracy
5,0,20,13,0,Accuracy
6,0,88,18,25,Gmean1
36,0,23,316,61,Accuracy
12,0,51,35,50,Accuracy
9,0,17,36,16,Accuracy
7,0,19,14,100,Balance
22,0,25,172,72,Gmes
11,0,23,91,88,Accuracy
40,0,20,576,83,Accuracy
1,0,14,10,0,Accuracy
1,0,45,6,100,Gmean1
20,0,19,98,60,Balance
9,0,20,30,35,Accuracy
1,0,13,6,0,Accuracy
4,0,20,34,28,Accuracy
1,0,13,46,0,Accuracy
6,0,19,8,0,Accuracy
6,0,14,16,0,Accuracy
6,0,15,16,0,Accuracy
1,0,50,8,0,Accuracy
8,0,16,39,22,Accuracy
15,0,82,667,83,Gmes
1,0,60,18,0,Accuracy
4,0,23,69,63,Accuracy
16,0,17,157,62,Gmes
4,2,18,18,40,Accuracy
12,0,15,24,0,Accuracy
8,0,711,110,66,Gmean1
6,0,14,20,0,Accuracy
15,0,25,126,71,Accuracy
1,0,59,4,0,Accuracy
1,0,59,4,0,Accuracy
3,0,20,16,0,Accuracy
0,5,15,104,0,Accuracy
15,0,35,155,82,Gmes
17,0,24,261,81,Gmes
8,0,22,70,62,Accuracy
43,0,59,905,90,Accuracy
12,0,49,34,50,Accuracy
5,0,15,22,25,Accuracy
7,0,19,103,37,Accuracy
1,0,14,4,0,Accuracy
7,1,20,165,0,Accuracy
4,0,22,32,0,Accuracy
27,0,27,325,73,Accuracy
4,0,16,16,50,Accuracy
4,0,14,19,12,Accuracy
18,0,17,59,27,Gmean1
20,0,18,50,41,Gmean1
13,0,21,128,30,Accuracy
5,0,14,9,33,Balance
3,0,17,42,44,Accuracy
6,0,98,15,66,Accuracy
13,0,95,61,35,Accuracy
29,0,35,291,91,Accuracy
1,0,46,8,0,Accuracy
1,0,45,5,0,Accuracy
0,0,20,4,0,Accuracy
16,1,99,135,69,Accuracy
0,0,15,7,0,Accuracy
16,0,89,155,33,Accuracy
10,0,31,65,66,Accuracy
14,1,79,151,46,Gmean1
45,37,47,460,88,Accuracy
7,0,88,34,16,Accuracy
21,0,22,171,59,Accuracy
3,0,14,6,0,Accuracy
3,0,17,36,43,Accuracy
4,0,17,26,33,Accuracy
15,0,48,46,0,Accuracy
17,0,52,58,53,Accuracy
23,1,37,223,90,Accuracy
7,0,15,24,0,Accuracy
1,0,14,7,0,Accuracy
55,3,69,835,75,Accuracy
13,0,15,86,50,Accuracy
0,0,16,11,0,Accuracy
2,0,68,71,0,Accuracy
1,0,51,12,0,Accuracy
2,0,40,86,33,Accuracy
17,1,37,88,92,Accuracy
7,0,18,157,40,Accuracy
3,0,20,8,0,Accuracy
3,0,23,17,0,Accuracy
12,0,17,70,37,Accuracy
2,0,60,7,0,Accuracy
1,0,59,4,0,Accuracy
3,0,18,15,0,Accuracy
14,1,26,87,80,Gmes
1,0,49,5,0,Accuracy
11,0,19,115,33,Accuracy
35,0,18,103,66,Gmes
3,0,21,27,25,Accuracy
40,1,16,297,33,Gmean1
1,0,15,10,50,Accuracy
2,0,18,26,50,Accuracy
19,0,27,296,28,Accuracy
43,1,71,667,85,Accuracy
55,1,79,812,82,Accuracy
6,0,32,23,25,Accuracy
57,1,107,548,76,Accuracy
32,0,55,143,70,Accuracy
4,0,15,9,0,Accuracy
17,0,15,414,44,Accuracy
2,0,13,7,0,Accuracy
4,0,14,55,0,Accuracy
2,0,14,23,0,Accuracy
2,0,16,13,66,Accuracy
9,0,16,28,16,Accuracy
1,0,45,5,0,Accuracy
44,0,103,493,78,Precision
4,0,27,6,0,Accuracy
3,0,28,42,7,Accuracy
2,0,17,17,50,Accuracy
1,0,17,6,0,Accuracy
8,3,84,28,0,Accuracy
5,0,27,113,52,Accuracy
3,0,14,7,0,Accuracy
0,0,13,464,0,Accuracy
7,7,19,39,63,Balance
8,0,16,19,22,Accuracy
5,0,17,43,0,Accuracy
20,0,18,127,67,Accuracy
11,0,88,111,0,Accuracy
7,0,18,36,0,Accuracy
7,0,88,25,0,Accuracy
7,0,172,15,0,Accuracy
7,0,88,46,0,Accuracy
26,0,21,172,14,Accuracy
10,0,48,37,100,Gmean1
16,0,90,69,50,Balance
10,0,88,22,0,Accuracy
5,0,15,13,0,Accuracy
0,0,44,3,0,Accuracy
15,0,48,37,100,Accuracy
1,0,51,11,0,Accuracy
2,0,50,9,100,Accuracy
6,0,60,15,0,Accuracy
2,0,15,63,0,Accuracy
2,3,17,12,37,Accuracy
11,0,20,42,0,Accuracy
2,0,18,6,0,Accuracy
2,0,18,6,0,Accuracy
1,0,18,16,40,Accuracy
5,0,17,21,0,Accuracy
8,3,707,51,62,Gmean1
22,0,753,250,0,Precision
9,0,25,92,58,Accuracy
0,0,14,8,0,Accuracy
1,0,13,5,0,Accuracy
3,0,15,45,100,Balance
7,0,15,35,0,Accuracy
1,0,59,4,0,Accuracy
11,0,22,111,33,Accuracy
10,4,24,171,77,Gmean1
5,0,29,26,0,Accuracy
7,0,18,28,0,Accuracy
19,0,23,140,72,Gmes
4,0,23,41,70,Gmean1
9,0,19,88,38,Accuracy
2,0,17,11,100,Balance
30,1,17,189,58,Gmes
47,3,26,356,76,Gmes
8,0,24,46,80,Accuracy
3,0,23,8,0,Accuracy
20,0,16,74,50,Gmes
17,3,95,84,0,Accuracy
1,0,19,29,16,Accuracy
4,0,36,12,33,Accuracy
12,0,24,78,90,Gmean1
0,0,17,16,65,Accuracy
19,0,18,98,75,Accuracy
70,2,82,711,93,Accuracy
20,0,22,312,100,Accuracy
0,0,18,4,0,Accuracy
4,14,89,21,50,Accuracy
6,0,14,43,0,Accuracy
19,0,17,121,22,Accuracy
7,0,25,40,41,Accuracy
16,0,16,60,0,Accuracy
4,0,16,17,0,Accuracy
11,0,88,52,16,Accuracy
0,0,14,6,0,Accuracy
21,0,17,110,55,Accuracy
15,0,15,99,60,Gmean1
3,0,14,6,0,Accuracy
17,0,20,105,0,Accuracy
15,0,49,63,100,Accuracy
20,0,51,92,100,Gmes
3,0,15,8,0,Accuracy
17,0,93,108,80,Accuracy
12,0,22,77,69,Accuracy
2,57,14,27,66,Accuracy
8,0,20,12,0,Accuracy
5,0,15,15,0,Accuracy
14,0,32,154,57,Gmean1
2,0,17,13,37,Accuracy
4,0,15,12,0,Accuracy
5,0,37,44,41,Gmean1
30,1,57,298,63,Accuracy
5,0,17,48,0,Accuracy
2,0,15,11,0,Accuracy
26,0,752,506,33,Gmean1
13,0,704,72,52,Gmes
24,0,705,274,81,Accuracy
2,0,22,55,33,Accuracy
29,21,58,360,69,Accuracy
1,0,59,4,0,Accuracy
1,0,59,4,0,Accuracy
16,0,21,107,0,Accuracy
1,0,15,14,50,Gmean1
3,0,14,5,0,Accuracy
12,0,51,96,71,Gmean1
2,0,15,6,0,Accuracy
7,0,21,61,59,Gmean1
4,0,16,13,0,Accuracy
7,0,21,79,64,Accuracy
6,0,18,52,19,Accuracy
0,0,13,4,0,Accuracy
4,0,15,22,75,Accuracy
2,0,14,7,0,Accuracy
13,0,24,67,63,Gmean1
1,0,14,4,0,Accuracy
5,0,41,16,25,Accuracy
3,0,15,16,33,Accuracy
17,0,16,157,33,Gmean1
6,0,42,19,19,Accuracy
25,0,105,94,74,Accuracy
6,0,41,20,50,Gmean1
1,0,14,8,0,Accuracy
2,0,39,8,0,Accuracy
4,0,34,30,57,Accuracy
63,0,41,1112,88,Gmean1
6,0,46,35,0,Accuracy
2,0,14,5,0,Accuracy
6,0,31,97,80,Accuracy
23,0,21,72,0,Accuracy
5,0,19,17,0,Accuracy
9,0,26,52,64,Accuracy
9,0,64,21,50,Gmean1
1,0,14,8,0,Accuracy
7,0,89,25,0,Accuracy
22,0,20,335,65,Accuracy
1,0,13,5,0,Accuracy
22,2,59,261,75,Accuracy
5,0,15,14,0,Accuracy
1,0,45,6,100,Gmean1
31,0,21,231,72,Gmes
9,0,15,17,0,Accuracy
27,0,23,190,85,Accuracy
15,0,40,104,55,Accuracy
19,0,15,70,0,Accuracy
3,0,20,41,0,Accuracy
1,7,48,143,87,Gmean1
4,0,73,110,70,Gmean1
35,0,29,404,80,Precision
1,0,49,5,100,Gmean1
11,0,20,42,0,Accuracy
15,0,20,92,42,Accuracy
9,0,20,67,83,Gmes
11,0,16,37,33,Accuracy
1,0,59,4,0,Accuracy
3,0,22,41,55,Gmean1
3,0,14,10,0,Accuracy
6,0,62,212,0,Accuracy
1,0,50,8,0,Accuracy
6,0,19,19,0,Accuracy
15,0,23,70,88,Accuracy
12,0,89,40,16,Accuracy
1,0,85,21,0,Accuracy
3,0,18,24,19,Accuracy
7,0,19,71,38,Accuracy
4,0,18,37,50,Accuracy
2,0,19,29,58,Gmean1
0,0,15,8,0,Accuracy
13,0,48,32,0,Accuracy
25,0,22,653,80,Gmes
8,0,92,33,33,Accuracy
2,0,16,12,66,Gmean1
18,1,31,78,0,Accuracy
20,0,103,65,65,Accuracy
21,1,16,80,44,Gmean1
18,0,20,76,60,Accuracy
18,0,94,87,80,Accuracy
3,0,17,15,25,Accuracy
38,0,19,153,72,Accuracy
4,0,88,25,19,Accuracy
4,0,88,17,0,Accuracy
3,0,43,8,0,Accuracy
23,0,105,206,77,Accuracy
16,0,16,84,66,Accuracy
1,0,49,5,100,Gmean1
6,0,94,15,0,Accuracy
4,0,19,42,95,Accuracy
20,1,32,248,92,Accuracy
1,0,50,9,0,Accuracy
10,0,31,65,66,Gmes
19,0,23,111,77,Accuracy
7,0,80,17,0,Accuracy
8,0,73,21,0,Accuracy
4,0,20,14,0,Accuracy
0,0,14,6,0,Accuracy
16,0,56,155,94,Accuracy
9,0,49,73,37,Accuracy
35,0,75,608,72,Precision
4,2,15,11,0,Accuracy
9,0,60,30,100,Accuracy
2,0,13,6,0,Accuracy
5,0,20,13,0,Accuracy
7,0,88,54,50,Balance
21,0,23,335,66,Accuracy
1,0,14,10,0,Accuracy
11,1,31,88,72,Accuracy
10,0,15,78,0,Accuracy
1,0,54,20,0,Accuracy
3,0,71,106,66,Gmean1
30,0,95,177,62,Accuracy
49,0,106,507,85,Accuracy
1,0,49,5,100,Gmean1
8,0,16,63,100,Accuracy
13,7,19,45,50,Gmean1
2,0,20,10,0,Accuracy
7,0,17,38,50,Gmean1
38,0,40,592,90,Accuracy
1,0,59,4,0,Accuracy
2,0,60,7,0,Accuracy
1,0,14,8,0,Accuracy
15,0,15,69,0,Accuracy
16,0,22,171,51,Gmean1
8,0,21,82,0,Accuracy
19,0,22,94,77,Gmean1
0,0,18,4,0,Accuracy
10,9,16,40,56,Accuracy
12,0,19,83,38,Accuracy
4,0,21,26,18,Accuracy
7,0,82,14,0,Accuracy
15,0,49,50,50,Accuracy
3,0,42,52,33,Accuracy
8,0,92,28,33,Accuracy
11,0,17,37,37,Accuracy
66,1,170,831,96,Accuracy
2,0,13,4,0,Accuracy
2,3,15,90,100,Accuracy
1,0,50,8,100,Accuracy
9,0,14,21,0,Accuracy
6,8,91,15,25,Gmes
18,0,34,253,77,Accuracy
14,0,93,85,67,Balance
8,0,32,65,61,Gmean1
3,0,14,7,0,Accuracy
5,0,20,10,0,Accuracy
12,0,56,80,66,Balance
1,2,87,8,50,Gmean1
36,1,62,570,73,Accuracy
4,0,89,28,33,Accuracy
34,0,23,407,75,Accuracy
8,0,61,70,50,Accuracy
12,0,51,87,0,Accuracy
21,0,26,152,75,Gmes
23,0,17,233,38,Accuracy
0,0,15,2,0,Accuracy
7,1,17,21,58,Gmean1
13,0,48,50,100,Gmean1
32,0,26,285,77,Gmean1
12,0,17,225,88,Gmean1
7,0,88,34,0,Accuracy
6,0,16,21,0,Accuracy
8,0,18,35,37,Accuracy
14,0,17,124,75,Gmes
6,0,19,8,0,Accuracy
2,0,14,7,0,Accuracy
10,0,15,75,0,Accuracy
9,0,32,99,44,Gmean1
19,0,20,64,78,Accuracy
20,0,31,184,88,Gmes
5,0,16,37,44,Balance
1,0,14,8,0,Accuracy
13,0,14,36,0,Gmean1
1,0,45,3,0,Accuracy
5,0,20,18,0,Accuracy
2,0,20,10,0,Accuracy
4,0,16,48,0,Accuracy
14,0,24,135,70,Balance
9,0,17,36,33,Accuracy
4,0,14,20,0,Accuracy
16,0,751,39,0,Accuracy
23,0,704,217,53,Gmean1
6,0,30,21,50,Accuracy
1,0,59,4,0,Accuracy
1,0,59,4,0,Accuracy
1,0,59,4,0,Accuracy
2,0,60,7,0,Accuracy
1,0,59,4,0,Accuracy
1,0,59,4,0,Accuracy
1,0,59,4,0,Accuracy
5,0,29,25,0,Accuracy
6,0,29,28,0,Accuracy
4,0,19,20,0,Accuracy
3,0,19,20,0,Accuracy
13,0,16,45,33,Accuracy
6,0,32,23,25,Accuracy
33,0,29,393,86,Accuracy
7,0,18,64,42,Accuracy
1,0,49,6,100,Gmean1
8,0,23,47,72,Accuracy
6,0,110,16,33,Accuracy
2,0,17,14,0,Accuracy
16,2,17,73,50,Gmean1
5,0,20,36,64,Gmean1
8,0,48,60,100,Accuracy
9,0,32,79,53,Gmes
9,0,24,99,40,Accuracy
10,0,48,85,0,Accuracy
6,11,19,50,41,Gmes
16,0,51,180,50,Accuracy
3,0,19,35,0,Accuracy
10,0,88,55,0,Accuracy
2,0,35,8,0,Accuracy
24,1,55,186,73,Accuracy
26,0,19,114,0,Accuracy
0,0,15,2,0,Accuracy
6,0,58,13,100,Accuracy
14,0,19,131,56,Accuracy
17,0,48,60,100,Gmes
5,0,20,11,0,Accuracy
5,0,20,11,0,Accuracy
31,0,20,161,66,Accuracy
6,0,18,49,0,Accuracy
11,0,16,45,33,Accuracy
49,0,35,667,86,Accuracy
